number,value,datetime_start,datetime_complete,duration,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_dropout_l7,params_dropout_l8,params_dropout_l9,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_n_units_l6,params_n_units_l7,params_n_units_l8,params_n_units_l9,params_optimizer,params_weight_decay,state
18,1.0192275941371918,2025-12-25 22:26:37.188653,2025-12-25 22:26:38.191290,0 days 00:00:01.002637,0.33378438294485446,0.22316100422501808,0.3915690628366186,0.47737977484528293,0.17008596765281286,0.28101856141524834,,,,,0.0050051246279660365,6,232,48,152.0,248.0,8.0,8.0,,,,,RMSprop,1.9974509789597247e-05,PRUNED
19,1.0176649749279023,2025-12-25 22:26:38.191402,2025-12-25 22:26:39.893195,0 days 00:00:01.701793,0.3952765945848539,0.1479845045626216,0.4021633744237435,0.12871699722956048,0.47193290101547725,0.2670610393466088,0.48644291407366,0.02745877602790814,,,0.004466954279193552,8,216,8,136.0,8.0,256.0,256.0,256.0,24.0,,,RMSprop,0.000204345870692225,COMPLETE
20,0.6210716873407364,2025-12-25 22:26:39.893347,2025-12-25 22:26:40.338302,0 days 00:00:00.444955,0.4996467385418862,0.3557422659396209,0.4786689607083604,,,,,,,,0.00911899280629689,3,176,120,64.0,,,,,,,,RMSprop,4.528400541039177e-05,PRUNED
21,0.5984214723110199,2025-12-25 22:26:40.338411,2025-12-25 22:26:41.113414,0 days 00:00:00.775003,0.3014855707906253,0.19988778116198475,0.4959246165081741,,,,,,,,0.002401534424694132,3,152,56,96.0,,,,,,,,RMSprop,9.239673796158668e-06,COMPLETE
22,0.6122847527265549,2025-12-25 22:26:41.113540,2025-12-25 22:26:41.544607,0 days 00:00:00.431067,0.29734094159416724,0.23660070600226604,0.4222531942245381,,,,,,,,0.003150978534521345,3,160,48,176.0,,,,,,,,RMSprop,8.230483032532752e-06,PRUNED
23,0.7451103627681732,2025-12-25 22:26:41.544711,2025-12-25 22:26:42.414697,0 days 00:00:00.869986,0.30446149922335647,0.1770086828034657,0.3332972980123274,0.4063644851771029,0.3684002572919135,,,,,,0.0057623982207263376,5,152,32,120.0,176.0,192.0,,,,,,RMSprop,9.020817719379517e-06,COMPLETE
24,0.5519035637378693,2025-12-25 22:26:42.414832,2025-12-25 22:26:43.308215,0 days 00:00:00.893383,0.4185475530936699,0.09260462378747512,,,,,,,,,0.003451929477596119,2,192,64,,,,,,,,,RMSprop,3.9901676649416744e-05,COMPLETE
25,0.5692816376686096,2025-12-25 22:26:43.308356,2025-12-25 22:26:43.602167,0 days 00:00:00.293811,0.41938229561466606,0.05893708888163118,,,,,,,,,0.0020914644966452266,2,176,64,,,,,,,,,RMSprop,4.702353610477531e-05,COMPLETE
26,0.6054371893405914,2025-12-25 22:26:43.602313,2025-12-25 22:26:43.923803,0 days 00:00:00.321490,0.4346823651149893,0.033780560416846066,,,,,,,,,0.0007359851097067456,2,184,104,,,,,,,,,RMSprop,4.736565085689222e-05,COMPLETE
27,0.5664767980575561,2025-12-25 22:26:43.923928,2025-12-25 22:26:44.275570,0 days 00:00:00.351642,0.38347967410731887,0.07605971156256885,,,,,,,,,0.002273526774478265,2,224,136,,,,,,,,,RMSprop,0.00014044026288557776,COMPLETE
28,0.5852379560470581,2025-12-25 22:26:44.275711,2025-12-25 22:26:44.669567,0 days 00:00:00.393856,0.3820152100942829,0.07650898848382345,,,,,,,,,0.0014558406474274872,2,256,144,,,,,,,,,RMSprop,0.00017535215457646625,COMPLETE
29,0.6113115876913071,2025-12-25 22:26:44.669701,2025-12-25 22:26:45.068116,0 days 00:00:00.398415,0.4371590107153594,0.06933511529801212,,,,,,,,,0.0007916483670534154,2,216,176,,,,,,,,,RMSprop,0.00010321270710369724,PRUNED
30,1.0190358281135559,2025-12-25 22:26:45.068216,2025-12-25 22:26:45.854365,0 days 00:00:00.786149,0.3588837623812291,0.10667324580913624,0.08978325425172598,0.07247642977827023,0.13082982952581176,,,,,,0.0019137009213518728,5,240,152,8.0,136.0,48.0,,,,,,RMSprop,0.00048552331139114943,PRUNED
31,0.5903098464012146,2025-12-25 22:26:45.854471,2025-12-25 22:26:46.249424,0 days 00:00:00.394953,0.3785351328561818,0.0521843861392772,,,,,,,,,0.0013039275717404313,2,256,136,,,,,,,,,RMSprop,0.00018496191628762177,COMPLETE
32,0.5593346983194352,2025-12-25 22:26:46.249556,2025-12-25 22:26:46.661181,0 days 00:00:00.411625,0.3966321733175305,0.11132164451991022,,,,,,,,,0.0031730663471111367,2,240,184,,,,,,,,,RMSprop,9.559926904141765e-05,COMPLETE
