Temperature (K),Energy (eV)
1007.000000,-27.661319
1020.000000,-27.660689
1032.000000,-27.661034
1042.000000,-27.661065
1051.000000,-27.659520
1060.000000,-27.656675
1067.000000,-27.653923
1074.000000,-27.650449
1080.000000,-27.648641
1087.000000,-27.648253
1098.000000,-27.648705
1115.000000,-27.646286
1138.000000,-27.644513
1167.000000,-27.643488
1201.000000,-27.642831
1238.000000,-27.642752
1275.000000,-27.642668
1309.000000,-27.642060
1334.000000,-27.641350
1345.000000,-27.640709
1336.000000,-27.639621
1306.000000,-27.637507
1252.000000,-27.635190
1182.000000,-27.632241
1102.000000,-27.629369
1025.000000,-27.626441
962.000000,-27.623111
917.000000,-27.619801
885.000000,-27.617984
861.000000,-27.618054
836.000000,-27.623119
804.000000,-27.637528
772.000000,-27.628038
751.000000,-27.625548
742.000000,-27.623948
749.000000,-27.623076
771.000000,-27.622971
803.000000,-27.622421
833.000000,-27.622911
852.000000,-27.623893
855.000000,-27.623580
839.000000,-27.621535
808.000000,-27.619141
769.000000,-27.615738
734.000000,-27.611508
714.000000,-27.609269
718.000000,-27.608113
748.000000,-27.607416
799.000000,-27.606324
861.000000,-27.604580
921.000000,-27.603600
974.000000,-27.602766
1017.000000,-27.601788
1055.000000,-27.599262
1091.000000,-27.596649
1130.000000,-27.595186
1176.000000,-27.593070
1227.000000,-27.592252
1281.000000,-27.592560
1331.000000,-27.592551
1373.000000,-27.591937
1398.000000,-27.590448
1404.000000,-27.588588
1387.000000,-27.587325
1349.000000,-27.586523
1297.000000,-27.584346
1233.000000,-27.579749
1163.000000,-27.575897
1087.000000,-27.573347
1014.000000,-27.568544
947.000000,-27.560640
886.000000,-27.551672
825.000000,-27.561366
770.000000,-27.552264
727.000000,-27.545247
690.000000,-27.547303
666.000000,-27.549489
658.000000,-27.546834
662.000000,-27.546989
678.000000,-27.547004
707.000000,-27.546747
747.000000,-27.546967
794.000000,-27.546972
846.000000,-27.546862
899.000000,-27.546527
950.000000,-27.546252
996.000000,-27.546038
1033.000000,-27.545455
1057.000000,-27.544217
1067.000000,-27.541892
1061.000000,-27.538909
1040.000000,-27.535867
1011.000000,-27.532369
983.000000,-27.527414
968.000000,-27.523392
974.000000,-27.521633
1007.000000,-27.520357
1063.000000,-27.520332
1130.000000,-27.521210
1194.000000,-27.521760
1242.000000,-27.521257
1268.000000,-27.521983
1268.000000,-27.521928
1246.000000,-27.523225
1205.000000,-27.523977
1153.000000,-27.524984
1098.000000,-27.522300
1041.000000,-27.521258
988.000000,-27.520257
942.000000,-27.517759
904.000000,-27.514932
874.000000,-27.512212
850.000000,-27.510300
834.000000,-27.508630
824.000000,-27.507376
820.000000,-27.507156
820.000000,-27.505855
825.000000,-27.504696
834.000000,-27.502525
846.000000,-27.500105
859.000000,-27.499677
873.000000,-27.499268
889.000000,-27.498157
905.000000,-27.497425
919.000000,-27.497011
932.000000,-27.496803
943.000000,-27.495846
950.000000,-27.493201
951.000000,-27.490962
942.000000,-27.489807
927.000000,-27.488274
905.000000,-27.485814
882.000000,-27.481001
865.000000,-27.474041
861.000000,-27.468002
875.000000,-27.462254
910.000000,-27.450006
959.000000,-27.455112
1017.000000,-27.454627
1074.000000,-27.447487
1110.000000,-27.447471
1122.000000,-27.448594
1108.000000,-27.446607
1073.000000,-27.443432
1025.000000,-27.439121
974.000000,-27.434985
931.000000,-27.431923
908.000000,-27.428831
907.000000,-27.427081
926.000000,-27.426038
959.000000,-27.425097
994.000000,-27.423974
1022.000000,-27.422874
1034.000000,-27.421832
1030.000000,-27.420032
1012.000000,-27.418105
991.000000,-27.414281
972.000000,-27.409785
958.000000,-27.408309
953.000000,-27.407111
956.000000,-27.404713
967.000000,-27.402365
989.000000,-27.399913
1033.000000,-27.398568
1104.000000,-27.398195
1204.000000,-27.396927
1317.000000,-27.396360
1423.000000,-27.398062
1504.000000,-27.398742
1549.000000,-27.397573
1553.000000,-27.394310
1518.000000,-27.391746
1452.000000,-27.387448
1363.000000,-27.382926
1259.000000,-27.380110
1151.000000,-27.376438
1048.000000,-27.373880
956.000000,-27.373550
884.000000,-27.372983
835.000000,-27.369140
807.000000,-27.365904
794.000000,-27.364954
794.000000,-27.363884
801.000000,-27.363256
815.000000,-27.362669
833.000000,-27.361772
854.000000,-27.361522
877.000000,-27.361510
902.000000,-27.361771
929.000000,-27.361738
957.000000,-27.361702
983.000000,-27.361666
1006.000000,-27.361895
1023.000000,-27.361696
1032.000000,-27.361494
1032.000000,-27.361201
1023.000000,-27.360609
1005.000000,-27.359994
980.000000,-27.359067
950.000000,-27.357893
917.000000,-27.356736
884.000000,-27.355477
853.000000,-27.354516
826.000000,-27.353721
805.000000,-27.352849
791.000000,-27.352277
785.000000,-27.351889
786.000000,-27.351598
793.000000,-27.351546
806.000000,-27.351719
824.000000,-27.351691
844.000000,-27.351168
865.000000,-27.350767
887.000000,-27.350618
909.000000,-27.349822
931.000000,-27.348938
954.000000,-27.348344
979.000000,-27.347546
1008.000000,-27.346518
1037.000000,-27.345782
1065.000000,-27.345399
1088.000000,-27.345274
1101.000000,-27.345247
1103.000000,-27.344599
1092.000000,-27.343399
1068.000000,-27.342442
1037.000000,-27.341483
1003.000000,-27.340201
970.000000,-27.338877
943.000000,-27.337733
924.000000,-27.337199
914.000000,-27.337495
914.000000,-27.337653
924.000000,-27.337594
942.000000,-27.338033
970.000000,-27.338264
1006.000000,-27.337526
1048.000000,-27.337481
1096.000000,-27.337105
1146.000000,-27.335511
1193.000000,-27.333964
1234.000000,-27.333414
1267.000000,-27.333061
1294.000000,-27.330656
1315.000000,-27.328268
1329.000000,-27.325983
1341.000000,-27.323868
1351.000000,-27.321572
1358.000000,-27.320027
1362.000000,-27.318684
1358.000000,-27.318210
1344.000000,-27.317391
1316.000000,-27.315468
1270.000000,-27.313301
1204.000000,-27.311424
1121.000000,-27.308239
1023.000000,-27.305246
919.000000,-27.302133
818.000000,-27.298919
729.000000,-27.296132
658.000000,-27.293329
609.000000,-27.290734
581.000000,-27.288827
570.000000,-27.287929
575.000000,-27.287473
595.000000,-27.286962
630.000000,-27.286200
678.000000,-27.285226
738.000000,-27.283740
806.000000,-27.281606
874.000000,-27.281312
938.000000,-27.281325
997.000000,-27.277861
1041.000000,-27.275873
1068.000000,-27.274486
1079.000000,-27.271985
1072.000000,-27.267803
1045.000000,-27.263899
1001.000000,-27.260795
945.000000,-27.258103
889.000000,-27.254685
843.000000,-27.251508
822.000000,-27.249306
835.000000,-27.247414
882.000000,-27.247543
953.000000,-27.249283
1038.000000,-27.251655
1120.000000,-27.253296
1187.000000,-27.257306
1235.000000,-27.257473
1260.000000,-27.254890
1261.000000,-27.251638
1242.000000,-27.247918
1211.000000,-27.243804
1176.000000,-27.240196
1142.000000,-27.237544
1115.000000,-27.234351
1090.000000,-27.232877
1066.000000,-27.232339
1041.000000,-27.231895
1016.000000,-27.230751
996.000000,-27.228875
982.000000,-27.227196
981.000000,-27.226073
991.000000,-27.224667
1012.000000,-27.223885
1037.000000,-27.224366
1062.000000,-27.225278
1081.000000,-27.225419
1091.000000,-27.225729
1086.000000,-27.224662
1065.000000,-27.223493
1025.000000,-27.221255
969.000000,-27.218429
899.000000,-27.216313
823.000000,-27.214208
748.000000,-27.211203
683.000000,-27.208192
634.000000,-27.205746
606.000000,-27.205037
601.000000,-27.204137
618.000000,-27.203968
653.000000,-27.202355
704.000000,-27.203031
770.000000,-27.203338
847.000000,-27.203812
932.000000,-27.204570
1020.000000,-27.204693
1106.000000,-27.204804
1183.000000,-27.204094
1243.000000,-27.202525
1278.000000,-27.200438
1285.000000,-27.199005
1261.000000,-27.197057
1213.000000,-27.193517
1151.000000,-27.189047
1090.000000,-27.185399
1044.000000,-27.182658
1025.000000,-27.180801
1035.000000,-27.180344
1068.000000,-27.180602
1111.000000,-27.181144
1154.000000,-27.179948
1187.000000,-27.179084
