Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000371,0.000662,0.000745,0.001778
0.004000,0.001487,0.002661,0.002991,0.007139
0.006000,0.003349,0.006027,0.006765,0.016141
0.008000,0.005960,0.010810,0.012108,0.028878
0.010000,0.009333,0.017087,0.019090,0.045510
0.012000,0.013486,0.024961,0.027799,0.066246
0.014000,0.018435,0.034550,0.038329,0.091314
0.016000,0.024225,0.045994,0.050813,0.121032
0.018000,0.030864,0.059427,0.065357,0.155648
0.020000,0.038391,0.075017,0.082106,0.195513
0.022000,0.046849,0.092940,0.101246,0.241036
0.024000,0.056316,0.113443,0.123017,0.292776
0.026000,0.066823,0.136668,0.147543,0.351034
0.028000,0.078453,0.162811,0.175091,0.416354
0.030000,0.091203,0.191993,0.205787,0.488983
0.032000,0.105104,0.224346,0.239786,0.569236
0.034000,0.120094,0.259838,0.277198,0.657130
0.036000,0.136063,0.298342,0.318142,0.752546
0.038000,0.152774,0.339525,0.362623,0.854921
0.040000,0.169835,0.382868,0.410556,0.963260
0.042000,0.186676,0.427604,0.461927,1.076206
0.044000,0.202524,0.472848,0.516462,1.191834
0.046000,0.216419,0.517468,0.573930,1.307817
0.048000,0.227377,0.560419,0.633987,1.421783
0.050000,0.234428,0.600637,0.696291,1.531356
0.052000,0.236872,0.637295,0.760430,1.634597
0.054000,0.234487,0.669887,0.826168,1.730542
0.056000,0.227577,0.698251,0.892909,1.818737
0.058000,0.216942,0.722423,0.959875,1.899240
0.060000,0.203635,0.742614,1.026247,1.972496
0.062000,0.188783,0.759045,1.090677,2.038506
0.064000,0.173362,0.771869,1.151489,2.096720
0.066000,0.158141,0.780952,1.209162,2.148255
0.068000,0.143612,0.786339,1.263318,2.193269
0.070000,0.130141,0.788256,1.313578,2.231975
0.072000,0.117910,0.787088,1.360111,2.265109
0.074000,0.107051,0.783291,1.403232,2.293574
0.076000,0.097609,0.777519,1.443432,2.318560
0.078000,0.089588,0.770564,1.481001,2.341152
0.080000,0.082883,0.763150,1.516001,2.362034
0.082000,0.077262,0.755899,1.548189,2.381349
