Temperature (K),Energy (eV)
462.000000,-98.025008
502.000000,-98.029966
548.000000,-98.030443
589.000000,-98.032381
613.000000,-98.032808
611.000000,-98.034631
578.000000,-98.035996
520.000000,-98.034915
444.000000,-98.035068
366.000000,-98.033057
297.000000,-98.031562
248.000000,-98.030147
228.000000,-98.029474
237.000000,-98.030106
274.000000,-98.032242
331.000000,-98.034013
399.000000,-98.034748
466.000000,-98.036286
518.000000,-98.036899
547.000000,-98.036091
546.000000,-98.033962
517.000000,-98.031719
465.000000,-98.028680
402.000000,-98.025209
341.000000,-98.021529
294.000000,-98.019021
270.000000,-98.017908
276.000000,-98.017588
314.000000,-98.018251
379.000000,-98.020603
464.000000,-98.023724
553.000000,-98.026647
631.000000,-98.029778
680.000000,-98.031341
690.000000,-98.030366
660.000000,-98.028458
600.000000,-98.025440
529.000000,-98.021547
465.000000,-98.018169
426.000000,-98.015200
423.000000,-98.013705
452.000000,-98.014038
505.000000,-98.016030
565.000000,-98.017802
613.000000,-98.018987
632.000000,-98.019089
615.000000,-98.017806
563.000000,-98.016699
488.000000,-98.013796
402.000000,-98.011178
319.000000,-98.008004
250.000000,-98.006720
202.000000,-98.005088
178.000000,-98.004362
177.000000,-98.005157
199.000000,-98.006250
239.000000,-98.007666
294.000000,-98.009067
358.000000,-98.011133
423.000000,-98.013104
484.000000,-98.014975
535.000000,-98.015543
570.000000,-98.015584
589.000000,-98.015831
594.000000,-98.014596
588.000000,-98.013810
576.000000,-98.014220
566.000000,-98.012307
558.000000,-98.010211
552.000000,-98.010486
547.000000,-98.008866
538.000000,-98.008446
523.000000,-98.007669
499.000000,-98.006076
464.000000,-98.004442
421.000000,-98.002341
373.000000,-97.999575
325.000000,-97.997167
282.000000,-97.995393
250.000000,-97.993651
235.000000,-97.992523
240.000000,-97.992206
268.000000,-97.993137
317.000000,-97.994259
383.000000,-97.995595
458.000000,-97.997929
533.000000,-98.000036
598.000000,-98.001740
644.000000,-98.003264
666.000000,-98.003480
664.000000,-98.002397
641.000000,-97.999043
603.000000,-97.996036
560.000000,-97.993419
517.000000,-97.992145
482.000000,-97.993076
458.000000,-97.992518
441.000000,-97.993417
431.000000,-97.993605
421.000000,-97.992388
408.000000,-97.991075
390.000000,-97.990450
369.000000,-97.989482
347.000000,-97.988318
328.000000,-97.986734
315.000000,-97.985042
309.000000,-97.983915
314.000000,-97.983321
329.000000,-97.982843
357.000000,-97.982850
397.000000,-97.983614
445.000000,-97.984849
497.000000,-97.986332
544.000000,-97.987264
582.000000,-97.987230
604.000000,-97.987644
607.000000,-97.987626
595.000000,-97.986204
570.000000,-97.984482
536.000000,-97.984018
501.000000,-97.981202
469.000000,-97.978252
442.000000,-97.975596
425.000000,-97.973724
417.000000,-97.971694
417.000000,-97.970199
418.000000,-97.968702
415.000000,-97.967900
404.000000,-97.967071
383.000000,-97.965831
353.000000,-97.965149
320.000000,-97.966155
292.000000,-97.965152
273.000000,-97.963734
267.000000,-97.962935
274.000000,-97.963603
291.000000,-97.963306
316.000000,-97.963064
348.000000,-97.963907
388.000000,-97.964868
435.000000,-97.965291
490.000000,-97.965696
549.000000,-97.965595
610.000000,-97.966086
666.000000,-97.966631
710.000000,-97.966940
737.000000,-97.965657
743.000000,-97.964217
727.000000,-97.962692
692.000000,-97.960785
645.000000,-97.958052
593.000000,-97.957626
541.000000,-97.956633
493.000000,-97.955626
449.000000,-97.955030
409.000000,-97.954210
372.000000,-97.954042
339.000000,-97.953649
312.000000,-97.954635
295.000000,-97.955756
290.000000,-97.958425
296.000000,-97.963155
314.000000,-97.960254
337.000000,-97.961244
361.000000,-97.961257
380.000000,-97.962177
393.000000,-97.962266
400.000000,-97.961624
406.000000,-97.961002
415.000000,-97.960162
433.000000,-97.959918
461.000000,-97.959853
497.000000,-97.958834
536.000000,-97.958577
568.000000,-97.958593
585.000000,-97.958297
585.000000,-97.957267
567.000000,-97.954444
533.000000,-97.951132
489.000000,-97.948545
441.000000,-97.945958
394.000000,-97.942862
350.000000,-97.940242
313.000000,-97.939822
