Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000499,0.000373,0.000250,0.001121
0.004000,0.001962,0.001475,0.000976,0.004412
0.006000,0.004287,0.003255,0.002111,0.009653
0.008000,0.007305,0.005624,0.003542,0.016471
0.010000,0.010800,0.008474,0.005128,0.024403
0.012000,0.014533,0.011685,0.006710,0.032928
0.014000,0.018263,0.015133,0.008136,0.041533
0.016000,0.021782,0.018714,0.009289,0.049786
0.018000,0.024929,0.022349,0.010083,0.057360
0.020000,0.027590,0.025989,0.010480,0.064059
0.022000,0.029698,0.029607,0.010481,0.069786
0.024000,0.031234,0.033184,0.010120,0.074538
0.026000,0.032195,0.036709,0.009451,0.078355
0.028000,0.032609,0.040161,0.008550,0.081320
0.030000,0.032519,0.043514,0.007502,0.083535
0.032000,0.031974,0.046726,0.006398,0.085098
0.034000,0.031026,0.049724,0.005335,0.086085
0.036000,0.029724,0.052418,0.004405,0.086547
0.038000,0.028120,0.054695,0.003689,0.086505
0.040000,0.026253,0.056436,0.003254,0.085943
0.042000,0.024157,0.057517,0.003137,0.084811
0.044000,0.021863,0.057830,0.003347,0.083039
0.046000,0.019390,0.057275,0.003854,0.080519
0.048000,0.016776,0.055786,0.004594,0.077155
0.050000,0.014048,0.053311,0.005478,0.072837
0.052000,0.011276,0.049847,0.006405,0.067528
0.054000,0.008559,0.045470,0.007279,0.061308
0.056000,0.006031,0.040313,0.008011,0.054355
0.058000,0.003840,0.034595,0.008538,0.046973
0.060000,0.002140,0.028614,0.008820,0.039575
0.062000,0.001053,0.022722,0.008843,0.032618
0.064000,0.000651,0.017302,0.008614,0.026567
0.066000,0.000946,0.012721,0.008158,0.021825
0.068000,0.001892,0.009287,0.007520,0.018699
0.070000,0.003403,0.007223,0.006756,0.017383
0.072000,0.005374,0.006649,0.005935,0.017958
0.074000,0.007703,0.007605,0.005125,0.020433
