Temperature (K),Energy (eV)
417.000000,-98.178145
423.000000,-98.175873
440.000000,-98.174509
461.000000,-98.175780
479.000000,-98.177532
486.000000,-98.177286
477.000000,-98.178586
449.000000,-98.177606
407.000000,-98.177628
356.000000,-98.176803
305.000000,-98.176270
260.000000,-98.174070
228.000000,-98.173345
215.000000,-98.172730
221.000000,-98.172780
246.000000,-98.173348
288.000000,-98.173934
339.000000,-98.175073
392.000000,-98.176873
439.000000,-98.178842
471.000000,-98.179996
484.000000,-98.181425
477.000000,-98.181532
454.000000,-98.181473
424.000000,-98.180116
395.000000,-98.179234
374.000000,-98.178891
364.000000,-98.178112
367.000000,-98.177888
378.000000,-98.177508
389.000000,-98.177879
394.000000,-98.177076
387.000000,-98.176649
367.000000,-98.176432
334.000000,-98.174384
292.000000,-98.172362
247.000000,-98.170772
204.000000,-98.168066
168.000000,-98.166062
146.000000,-98.164605
138.000000,-98.164214
149.000000,-98.164112
178.000000,-98.164829
224.000000,-98.166008
283.000000,-98.167623
350.000000,-98.169487
414.000000,-98.171998
467.000000,-98.173790
499.000000,-98.174393
503.000000,-98.175235
479.000000,-98.174160
434.000000,-98.170987
377.000000,-98.166939
322.000000,-98.163795
280.000000,-98.161536
261.000000,-98.160887
267.000000,-98.160509
295.000000,-98.161667
339.000000,-98.163071
387.000000,-98.164667
427.000000,-98.164491
449.000000,-98.162808
447.000000,-98.161484
424.000000,-98.158736
385.000000,-98.155891
342.000000,-98.152581
303.000000,-98.150209
279.000000,-98.148046
275.000000,-98.146657
292.000000,-98.146081
329.000000,-98.147419
381.000000,-98.149785
436.000000,-98.151861
484.000000,-98.153981
512.000000,-98.155648
514.000000,-98.155974
487.000000,-98.154501
438.000000,-98.152137
379.000000,-98.148820
325.000000,-98.145905
286.000000,-98.143957
270.000000,-98.142322
277.000000,-98.141894
305.000000,-98.142920
343.000000,-98.143796
382.000000,-98.145581
411.000000,-98.146122
424.000000,-98.146983
419.000000,-98.146969
397.000000,-98.144774
364.000000,-98.143286
327.000000,-98.141742
291.000000,-98.139816
263.000000,-98.138300
245.000000,-98.137180
239.000000,-98.136554
245.000000,-98.136538
262.000000,-98.137209
285.000000,-98.138005
309.000000,-98.138816
328.000000,-98.139699
338.000000,-98.140266
336.000000,-98.140216
323.000000,-98.139583
300.000000,-98.137675
273.000000,-98.136367
250.000000,-98.135511
238.000000,-98.133775
243.000000,-98.132704
266.000000,-98.132231
309.000000,-98.132903
366.000000,-98.133895
430.000000,-98.135339
489.000000,-98.135827
532.000000,-98.135441
550.000000,-98.134024
538.000000,-98.132312
499.000000,-98.131025
440.000000,-98.128266
372.000000,-98.124980
305.000000,-98.121639
249.000000,-98.119323
209.000000,-98.117576
190.000000,-98.116311
192.000000,-98.116406
216.000000,-98.117114
256.000000,-98.118697
308.000000,-98.120495
364.000000,-98.122158
414.000000,-98.123686
451.000000,-98.124536
467.000000,-98.123743
463.000000,-98.123602
443.000000,-98.122233
416.000000,-98.121269
393.000000,-98.119420
381.000000,-98.119505
386.000000,-98.120499
407.000000,-98.121917
436.000000,-98.121983
465.000000,-98.124279
483.000000,-98.125664
485.000000,-98.127394
469.000000,-98.125018
437.000000,-98.123693
395.000000,-98.121380
349.000000,-98.119968
306.000000,-98.118303
269.000000,-98.116835
244.000000,-98.116720
230.000000,-98.116311
229.000000,-98.115743
239.000000,-98.115619
258.000000,-98.116053
282.000000,-98.116613
306.000000,-98.117262
326.000000,-98.117844
337.000000,-98.117876
337.000000,-98.117934
328.000000,-98.117636
311.000000,-98.116776
293.000000,-98.116273
279.000000,-98.115580
272.000000,-98.115384
276.000000,-98.115437
290.000000,-98.115864
311.000000,-98.116237
336.000000,-98.115750
361.000000,-98.114862
382.000000,-98.114748
393.000000,-98.114010
395.000000,-98.113487
388.000000,-98.111842
373.000000,-98.109748
352.000000,-98.108500
332.000000,-98.106592
314.000000,-98.105260
304.000000,-98.104198
303.000000,-98.103514
313.000000,-98.102709
331.000000,-98.102160
356.000000,-98.103041
383.000000,-98.103811
405.000000,-98.105191
418.000000,-98.105691
419.000000,-98.105753
406.000000,-98.105029
381.000000,-98.103987
350.000000,-98.103792
319.000000,-98.102281
295.000000,-98.101268
285.000000,-98.100503
293.000000,-98.099835
321.000000,-98.100879
367.000000,-98.101389
424.000000,-98.102345
482.000000,-98.104567
529.000000,-98.106420
556.000000,-98.107044
558.000000,-98.106988
533.000000,-98.105032
486.000000,-98.102533
426.000000,-98.099579
363.000000,-98.097359
305.000000,-98.095661
260.000000,-98.093316
230.000000,-98.092181
217.000000,-98.091221
222.000000,-98.091544
240.000000,-98.091989
269.000000,-98.093478
303.000000,-98.094722
336.000000,-98.096013
364.000000,-98.096917
380.000000,-98.097771
383.000000,-98.097945
375.000000,-98.096944
356.000000,-98.096643
333.000000,-98.096611
313.000000,-98.095189
299.000000,-98.095250
