Scale Factor,Volume (Å³),Energy (eV/atom)
0.96000000,43.95263449,-4.05228186
0.98000000,44.86831437,-4.06665897
1.00000000,45.78399426,-4.07704926
1.02000000,46.69967415,-4.08239794
1.04000000,47.61535403,-4.08322334
1.06000000,48.53103392,-4.07924986
1.08000000,49.44671380,-4.07176733
