Temperature (K),Energy (eV)
303.000000,-98.332574
330.000000,-98.337958
374.000000,-98.339334
424.000000,-98.341545
468.000000,-98.344172
493.000000,-98.346186
488.000000,-98.349094
452.000000,-98.352623
391.000000,-98.352873
318.000000,-98.351586
246.000000,-98.349703
189.000000,-98.347631
153.000000,-98.346396
144.000000,-98.345756
160.000000,-98.346554
196.000000,-98.347679
244.000000,-98.349565
295.000000,-98.351268
339.000000,-98.352365
365.000000,-98.353028
369.000000,-98.352860
350.000000,-98.351390
313.000000,-98.349589
266.000000,-98.348153
217.000000,-98.346110
174.000000,-98.344904
143.000000,-98.343436
129.000000,-98.342081
132.000000,-98.342569
152.000000,-98.342824
187.000000,-98.344177
232.000000,-98.345490
282.000000,-98.347409
328.000000,-98.349096
361.000000,-98.350448
375.000000,-98.351769
368.000000,-98.351737
340.000000,-98.350761
300.000000,-98.348764
258.000000,-98.347472
227.000000,-98.346104
216.000000,-98.344570
232.000000,-98.344715
274.000000,-98.346142
336.000000,-98.348137
405.000000,-98.350687
464.000000,-98.352405
497.000000,-98.353174
496.000000,-98.352275
460.000000,-98.348759
397.000000,-98.346235
319.000000,-98.343274
239.000000,-98.340675
170.000000,-98.338191
119.000000,-98.337093
91.000000,-98.335921
90.000000,-98.335531
116.000000,-98.336402
168.000000,-98.337561
241.000000,-98.339623
328.000000,-98.342078
416.000000,-98.344545
491.000000,-98.346673
537.000000,-98.348511
546.000000,-98.349320
516.000000,-98.348504
460.000000,-98.346125
392.000000,-98.342886
332.000000,-98.341404
292.000000,-98.340961
279.000000,-98.338649
292.000000,-98.338748
323.000000,-98.340390
359.000000,-98.341840
388.000000,-98.343201
399.000000,-98.343301
388.000000,-98.342802
355.000000,-98.341470
308.000000,-98.340149
255.000000,-98.338707
206.000000,-98.337296
168.000000,-98.336120
145.000000,-98.335296
140.000000,-98.335042
153.000000,-98.334997
181.000000,-98.335429
221.000000,-98.336786
266.000000,-98.338503
309.000000,-98.340906
341.000000,-98.343265
355.000000,-98.344359
348.000000,-98.344411
319.000000,-98.344004
275.000000,-98.341835
226.000000,-98.339810
181.000000,-98.337427
151.000000,-98.336489
141.000000,-98.335912
155.000000,-98.336365
192.000000,-98.338137
245.000000,-98.340114
304.000000,-98.341403
359.000000,-98.342245
398.000000,-98.342531
414.000000,-98.341659
403.000000,-98.339957
369.000000,-98.337539
321.000000,-98.335054
269.000000,-98.331835
225.000000,-98.329715
197.000000,-98.328332
192.000000,-98.327496
213.000000,-98.328107
261.000000,-98.329413
331.000000,-98.331364
411.000000,-98.334263
485.000000,-98.336608
534.000000,-98.339304
542.000000,-98.340675
501.000000,-98.339566
419.000000,-98.337234
316.000000,-98.334865
216.000000,-98.330922
143.000000,-98.328474
113.000000,-98.326988
135.000000,-98.327936
203.000000,-98.331052
307.000000,-98.335626
424.000000,-98.339731
528.000000,-98.342828
592.000000,-98.344692
602.000000,-98.344934
559.000000,-98.342547
477.000000,-98.338977
378.000000,-98.334865
280.000000,-98.331251
198.000000,-98.328986
140.000000,-98.327442
109.000000,-98.327519
103.000000,-98.327442
120.000000,-98.327800
155.000000,-98.328295
201.000000,-98.329818
251.000000,-98.331648
295.000000,-98.333698
326.000000,-98.335504
337.000000,-98.336761
327.000000,-98.336939
298.000000,-98.336984
259.000000,-98.336741
218.000000,-98.334150
187.000000,-98.332820
173.000000,-98.332170
182.000000,-98.331520
213.000000,-98.332383
261.000000,-98.334111
317.000000,-98.335718
368.000000,-98.336392
402.000000,-98.336904
410.000000,-98.336086
392.000000,-98.334765
352.000000,-98.332911
297.000000,-98.329825
238.000000,-98.327755
185.000000,-98.326172
145.000000,-98.324293
122.000000,-98.322779
121.000000,-98.322641
141.000000,-98.322978
183.000000,-98.324344
243.000000,-98.325846
315.000000,-98.327878
389.000000,-98.330200
454.000000,-98.332084
497.000000,-98.333144
510.000000,-98.332264
493.000000,-98.330558
453.000000,-98.327121
401.000000,-98.324272
