Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000703,0.000542,0.000060,0.001306
0.004000,0.002828,0.002165,0.000241,0.005234
0.006000,0.006411,0.004851,0.000547,0.011809
0.008000,0.011511,0.008563,0.000982,0.021056
0.010000,0.018218,0.013253,0.001554,0.033025
0.012000,0.026624,0.018860,0.002273,0.047757
0.014000,0.036922,0.025280,0.003157,0.065359
0.016000,0.049236,0.032392,0.004221,0.085849
0.018000,0.063749,0.039986,0.005481,0.109215
0.020000,0.080769,0.047814,0.006971,0.135554
0.022000,0.100550,0.055634,0.008718,0.164901
0.024000,0.123385,0.063148,0.010753,0.197286
0.026000,0.149637,0.070084,0.013119,0.232839
0.028000,0.179684,0.076221,0.015852,0.271757
0.030000,0.213919,0.081383,0.019003,0.314305
0.032000,0.252828,0.085412,0.022626,0.360866
0.034000,0.296984,0.088276,0.026807,0.412067
0.036000,0.346432,0.090054,0.031498,0.467985
0.038000,0.401282,0.090872,0.036674,0.528828
0.040000,0.461413,0.090923,0.042254,0.594590
0.042000,0.526547,0.090435,0.048101,0.665082
0.044000,0.595813,0.089621,0.053958,0.739391
0.046000,0.668105,0.088683,0.059459,0.816247
0.048000,0.741762,0.087795,0.064107,0.893665
0.050000,0.815030,0.087066,0.067323,0.969419
0.052000,0.885907,0.086575,0.068506,1.040987
0.054000,0.952422,0.086381,0.067120,1.105922
0.056000,1.013020,0.086504,0.062898,1.162422
0.058000,1.066439,0.086925,0.055970,1.209334
0.060000,1.112476,0.087657,0.046864,1.246997
0.062000,1.151445,0.088600,0.036539,1.276583
0.064000,1.183842,0.089641,0.026090,1.299574
0.066000,1.210402,0.090649,0.016593,1.317644
0.068000,1.231865,0.091475,0.008934,1.332275
0.070000,1.248954,0.091968,0.003645,1.344568
0.072000,1.262169,0.092008,0.000986,1.355163
0.074000,1.272000,0.091525,0.000967,1.364492
0.076000,1.278704,0.090484,0.003413,1.372601
0.078000,1.282400,0.088885,0.008010,1.379294
0.080000,1.283101,0.086783,0.014356,1.384239
0.082000,1.280707,0.084280,0.021967,1.386954
0.084000,1.275032,0.081486,0.030330,1.386847
0.086000,1.265865,0.078512,0.038935,1.383312
0.088000,1.252903,0.075463,0.047255,1.375621
0.090000,1.236030,0.072423,0.054877,1.363329
0.092000,1.215172,0.069484,0.061383,1.346039
0.094000,1.190416,0.066710,0.066526,1.323652
0.096000,1.162103,0.064146,0.070172,1.296422
0.098000,1.130755,0.061847,0.072291,1.264893
0.100000,1.097083,0.059846,0.072976,1.229905
0.102000,1.061936,0.058169,0.072403,1.192507
0.104000,1.026132,0.056845,0.070790,1.153767
0.106000,0.990510,0.055886,0.068374,1.114770
0.108000,0.955763,0.055293,0.065391,1.076447
0.110000,0.922510,0.055057,0.062059,1.039626
0.112000,0.891166,0.055149,0.058562,1.004878
0.114000,0.861907,0.055522,0.055038,0.972467
0.116000,0.835043,0.056116,0.051632,0.942790
0.118000,0.810446,0.056842,0.048412,0.915699
0.120000,0.788134,0.057607,0.045474,0.891215
0.122000,0.767948,0.058308,0.042877,0.869133
0.124000,0.749665,0.058826,0.040656,0.849148
0.126000,0.733034,0.059076,0.038841,0.830951
0.128000,0.717770,0.058964,0.037448,0.814182
0.130000,0.703588,0.058437,0.036498,0.798523
0.132000,0.690212,0.057480,0.036008,0.783700
0.134000,0.677427,0.056114,0.036005,0.769546
0.136000,0.665068,0.054391,0.036521,0.755980
0.138000,0.652977,0.052417,0.037606,0.743000
0.140000,0.641086,0.050308,0.039323,0.730717
0.142000,0.629363,0.048206,0.041744,0.719313
0.144000,0.617797,0.046245,0.044964,0.709006
0.146000,0.606397,0.044565,0.049090,0.700053
0.148000,0.595193,0.043279,0.054239,0.692711
0.150000,0.584234,0.042476,0.060535,0.687244
0.152000,0.573553,0.042218,0.068105,0.683877
0.154000,0.563179,0.042550,0.077095,0.682824
0.156000,0.553171,0.043488,0.087615,0.684275
0.158000,0.543562,0.045034,0.099775,0.688371
0.160000,0.534381,0.047173,0.113672,0.695225
0.162000,0.525667,0.049878,0.129378,0.704923
0.164000,0.517492,0.053112,0.146911,0.717514
0.166000,0.509930,0.056840,0.166265,0.733035
0.168000,0.503085,0.061016,0.187366,0.751466
0.170000,0.497131,0.065581,0.210029,0.772741
0.172000,0.492267,0.070497,0.234006,0.796770
0.174000,0.488717,0.075716,0.259004,0.823438
0.176000,0.486750,0.081212,0.284735,0.852698
0.178000,0.486722,0.086953,0.310729,0.884404
0.180000,0.489038,0.092887,0.336396,0.918321
0.182000,0.494043,0.098981,0.361291,0.954315
0.184000,0.502224,0.105190,0.384811,0.992226
0.186000,0.513977,0.111498,0.406594,1.032069
0.188000,0.529626,0.117873,0.426210,1.073709
0.190000,0.549392,0.124294,0.443435,1.117121
0.192000,0.573487,0.130778,0.458180,1.162444
0.194000,0.601844,0.137269,0.470308,1.209421
0.196000,0.634252,0.143722,0.479838,1.257812
0.198000,0.670384,0.150101,0.486798,1.307283
0.200000,0.709716,0.156364,0.491270,1.357351
0.202000,0.751536,0.162462,0.493319,1.407317
0.204000,0.795058,0.168348,0.492990,1.456396
0.206000,0.839411,0.173963,0.490299,1.503673
0.208000,0.883428,0.179271,0.485309,1.548008
0.210000,0.925973,0.184280,0.478186,1.588439
0.212000,0.965958,0.188989,0.469131,1.624077
0.214000,1.002426,0.193451,0.458477,1.654354
0.216000,1.034573,0.197757,0.446721,1.679051
0.218000,1.061792,0.202048,0.434470,1.698309
0.220000,1.083650,0.206507,0.422451,1.712608
0.222000,1.099737,0.211362,0.411451,1.722550
0.224000,1.110823,0.216721,0.401893,1.729437
0.226000,1.117063,0.222799,0.394334,1.734195
0.228000,1.118865,0.229788,0.389279,1.737932
0.230000,1.116625,0.237845,0.387045,1.741515
0.232000,1.110829,0.247081,0.387831,1.745740
0.234000,1.101977,0.257568,0.391719,1.751263
0.236000,1.090566,0.269287,0.398693,1.758546
0.238000,1.077192,0.282206,0.408645,1.768043
0.240000,1.062367,0.296179,0.421352,1.779898
0.242000,1.046677,0.311013,0.436532,1.794222
0.244000,1.030711,0.326465,0.453869,1.811045
0.246000,1.015074,0.342239,0.473008,1.830322
0.248000,1.000386,0.358000,0.493569,1.851955
0.250000,0.987259,0.373386,0.515144,1.875788
0.252000,0.976295,0.388011,0.537361,1.901666
0.254000,0.968109,0.401497,0.559820,1.929427
0.256000,0.963233,0.413502,0.582148,1.958883
0.258000,0.962109,0.423747,0.604024,1.989881
0.260000,0.965118,0.432076,0.625277,2.022471
0.262000,0.972405,0.438423,0.645622,2.056450
0.264000,0.984097,0.442867,0.664936,2.091901
0.266000,0.999956,0.445731,0.683258,2.128945
0.268000,1.019626,0.447531,0.700710,2.167867
0.270000,1.042637,0.448805,0.717486,2.208928
0.272000,1.068477,0.450144,0.733667,2.252288
0.274000,1.096552,0.451871,0.749328,2.297751
0.276000,1.126317,0.454250,0.764540,2.345107
0.278000,1.157184,0.457437,0.779277,2.393897
0.280000,1.188626,0.461312,0.793379,2.443317
0.282000,1.220277,0.465473,0.806647,2.492397
0.284000,1.251818,0.469415,0.818690,2.539923
0.286000,1.283032,0.472422,0.829017,2.584471
0.288000,1.313556,0.473913,0.837282,2.624751
0.290000,1.343174,0.473308,0.842934,2.659415
0.292000,1.371895,0.470123,0.845435,2.687453
0.294000,1.399530,0.464178,0.844413,2.708120
0.296000,1.425964,0.455590,0.839541,2.721095
0.298000,1.451196,0.444749,0.830630,2.726574
0.300000,1.475133,0.432324,0.817586,2.725044
0.302000,1.497769,0.419062,0.800505,2.717336
0.304000,1.519146,0.405773,0.779573,2.704492
0.306000,1.539260,0.393203,0.755143,2.687606
0.308000,1.558154,0.382064,0.727706,2.667924
0.310000,1.575940,0.372977,0.697837,2.646754
0.312000,1.592718,0.366395,0.666184,2.625297
