Temperature (K),Energy (eV)
905.000000,-27.779333
915.000000,-27.778439
924.000000,-27.778904
931.000000,-27.778654
935.000000,-27.777240
935.000000,-27.775922
933.000000,-27.773475
928.000000,-27.770087
918.000000,-27.768789
907.000000,-27.766735
898.000000,-27.764660
891.000000,-27.763153
891.000000,-27.762033
899.000000,-27.761204
920.000000,-27.759881
954.000000,-27.757693
1005.000000,-27.751840
1065.000000,-27.747678
1128.000000,-27.746059
1191.000000,-27.744849
1245.000000,-27.743603
1280.000000,-27.743431
1290.000000,-27.743251
1270.000000,-27.743055
1220.000000,-27.742152
1147.000000,-27.740085
1060.000000,-27.738431
976.000000,-27.737547
909.000000,-27.739011
867.000000,-27.735376
852.000000,-27.735234
854.000000,-27.736324
864.000000,-27.736298
871.000000,-27.736012
868.000000,-27.735900
858.000000,-27.734800
840.000000,-27.732830
817.000000,-27.730457
793.000000,-27.728332
771.000000,-27.725932
752.000000,-27.723928
737.000000,-27.722857
729.000000,-27.720971
729.000000,-27.719409
738.000000,-27.718600
756.000000,-27.717281
785.000000,-27.716156
823.000000,-27.715549
868.000000,-27.715324
917.000000,-27.715465
965.000000,-27.715604
1008.000000,-27.715640
1043.000000,-27.715552
1066.000000,-27.715374
1077.000000,-27.714782
1076.000000,-27.713815
1062.000000,-27.712367
1037.000000,-27.711015
1003.000000,-27.709665
963.000000,-27.708067
919.000000,-27.706499
874.000000,-27.705069
829.000000,-27.704036
788.000000,-27.702815
751.000000,-27.701580
721.000000,-27.700714
699.000000,-27.700201
685.000000,-27.699537
678.000000,-27.699200
679.000000,-27.698718
686.000000,-27.698452
698.000000,-27.698174
713.000000,-27.697751
731.000000,-27.697655
750.000000,-27.697532
770.000000,-27.697056
790.000000,-27.695931
809.000000,-27.694579
827.000000,-27.693831
843.000000,-27.692609
858.000000,-27.690720
870.000000,-27.688855
878.000000,-27.686765
883.000000,-27.684550
881.000000,-27.683078
874.000000,-27.682264
861.000000,-27.680383
844.000000,-27.677635
823.000000,-27.674471
799.000000,-27.672618
774.000000,-27.670873
754.000000,-27.669552
740.000000,-27.668021
735.000000,-27.667270
742.000000,-27.667315
763.000000,-27.666120
794.000000,-27.665361
833.000000,-27.665421
876.000000,-27.665783
919.000000,-27.665872
959.000000,-27.665708
990.000000,-27.665129
1011.000000,-27.663307
1020.000000,-27.661236
1016.000000,-27.659564
1002.000000,-27.657866
980.000000,-27.656299
952.000000,-27.655361
923.000000,-27.655096
895.000000,-27.654946
871.000000,-27.656179
854.000000,-27.661447
852.000000,-27.660101
863.000000,-27.657290
884.000000,-27.658021
916.000000,-27.657804
957.000000,-27.657375
1003.000000,-27.656977
1050.000000,-27.656221
1093.000000,-27.655623
1130.000000,-27.654897
1157.000000,-27.653635
1173.000000,-27.651488
1175.000000,-27.649274
1164.000000,-27.645943
1138.000000,-27.642463
1101.000000,-27.639800
1054.000000,-27.636138
1004.000000,-27.633011
955.000000,-27.629730
912.000000,-27.627160
880.000000,-27.624875
862.000000,-27.624142
856.000000,-27.625516
862.000000,-27.624539
875.000000,-27.623009
886.000000,-27.622935
892.000000,-27.622574
888.000000,-27.621974
871.000000,-27.621579
842.000000,-27.620775
802.000000,-27.618813
754.000000,-27.615726
704.000000,-27.612148
656.000000,-27.609482
617.000000,-27.607716
593.000000,-27.605865
585.000000,-27.604207
595.000000,-27.602961
623.000000,-27.603028
665.000000,-27.603088
721.000000,-27.603278
788.000000,-27.603369
863.000000,-27.603251
945.000000,-27.602992
1030.000000,-27.603535
1116.000000,-27.603452
1197.000000,-27.602202
1270.000000,-27.600477
1328.000000,-27.598820
1366.000000,-27.598508
1383.000000,-27.598080
1377.000000,-27.596862
1348.000000,-27.595059
1299.000000,-27.592061
1234.000000,-27.588897
1156.000000,-27.586684
1070.000000,-27.583952
981.000000,-27.580819
894.000000,-27.578107
811.000000,-27.575172
736.000000,-27.572722
669.000000,-27.570609
613.000000,-27.568197
567.000000,-27.566620
531.000000,-27.566028
506.000000,-27.565357
491.000000,-27.564506
484.000000,-27.564126
486.000000,-27.563987
495.000000,-27.563700
510.000000,-27.563429
533.000000,-27.563280
562.000000,-27.563126
598.000000,-27.563306
641.000000,-27.563079
690.000000,-27.562580
745.000000,-27.562077
805.000000,-27.561616
866.000000,-27.561140
927.000000,-27.560041
983.000000,-27.559182
1032.000000,-27.557611
1070.000000,-27.555171
1097.000000,-27.551657
1113.000000,-27.546500
1118.000000,-27.542378
1116.000000,-27.539070
1111.000000,-27.535605
1105.000000,-27.531681
1098.000000,-27.527576
1087.000000,-27.524959
