Temperature (K),Energy (eV)
396.000000,-98.152517
408.000000,-98.157740
438.000000,-98.158267
478.000000,-98.159697
518.000000,-98.161837
545.000000,-98.163731
548.000000,-98.166109
522.000000,-98.168650
467.000000,-98.169530
393.000000,-98.168367
312.000000,-98.166470
241.000000,-98.164371
195.000000,-98.162165
182.000000,-98.160867
206.000000,-98.161060
263.000000,-98.162318
342.000000,-98.164912
430.000000,-98.167867
508.000000,-98.170326
560.000000,-98.170809
577.000000,-98.169635
557.000000,-98.167418
505.000000,-98.164067
434.000000,-98.159808
357.000000,-98.156315
289.000000,-98.152895
237.000000,-98.150837
209.000000,-98.149382
206.000000,-98.148774
228.000000,-98.148891
273.000000,-98.150074
334.000000,-98.151417
405.000000,-98.153211
476.000000,-98.154875
534.000000,-98.156046
569.000000,-98.157793
572.000000,-98.159530
543.000000,-98.159795
489.000000,-98.158473
421.000000,-98.155576
355.000000,-98.151975
307.000000,-98.149123
289.000000,-98.148797
308.000000,-98.148728
361.000000,-98.150077
437.000000,-98.152636
518.000000,-98.153929
584.000000,-98.156161
618.000000,-98.157473
609.000000,-98.157806
561.000000,-98.157001
484.000000,-98.155399
393.000000,-98.152019
304.000000,-98.148065
229.000000,-98.146020
176.000000,-98.144439
149.000000,-98.143893
150.000000,-98.143577
178.000000,-98.144168
229.000000,-98.145625
297.000000,-98.147532
375.000000,-98.150052
452.000000,-98.151912
518.000000,-98.153755
564.000000,-98.155609
583.000000,-98.157305
577.000000,-98.157407
550.000000,-98.156962
510.000000,-98.156053
469.000000,-98.154358
433.000000,-98.152858
408.000000,-98.152353
397.000000,-98.151995
397.000000,-98.151983
404.000000,-98.153799
410.000000,-98.155082
411.000000,-98.155503
402.000000,-98.154709
382.000000,-98.154841
352.000000,-98.152704
317.000000,-98.150558
282.000000,-98.148824
255.000000,-98.147357
241.000000,-98.146774
244.000000,-98.145742
266.000000,-98.145168
307.000000,-98.145444
361.000000,-98.145647
422.000000,-98.146886
481.000000,-98.148866
525.000000,-98.151148
546.000000,-98.153150
539.000000,-98.152566
504.000000,-98.152390
452.000000,-98.150778
396.000000,-98.149499
353.000000,-98.146844
337.000000,-98.144823
351.000000,-98.145194
395.000000,-98.147602
458.000000,-98.151144
523.000000,-98.153175
573.000000,-98.155168
592.000000,-98.155036
574.000000,-98.153136
524.000000,-98.149828
450.000000,-98.147042
369.000000,-98.144040
293.000000,-98.142372
233.000000,-98.141104
196.000000,-98.139301
185.000000,-98.138723
200.000000,-98.138402
238.000000,-98.138792
297.000000,-98.140637
367.000000,-98.142622
439.000000,-98.144952
503.000000,-98.147101
546.000000,-98.149463
560.000000,-98.149836
544.000000,-98.147254
502.000000,-98.145624
447.000000,-98.144306
393.000000,-98.141173
352.000000,-98.139231
334.000000,-98.138576
339.000000,-98.138010
364.000000,-98.138376
398.000000,-98.139878
431.000000,-98.140644
453.000000,-98.140704
458.000000,-98.140824
445.000000,-98.139716
419.000000,-98.137499
388.000000,-98.135073
357.000000,-98.132922
332.000000,-98.131893
315.000000,-98.131525
305.000000,-98.131844
302.000000,-98.132427
305.000000,-98.132543
315.000000,-98.132487
331.000000,-98.132274
352.000000,-98.131999
377.000000,-98.131901
403.000000,-98.131267
428.000000,-98.130441
451.000000,-98.129573
469.000000,-98.129357
483.000000,-98.128872
493.000000,-98.128111
498.000000,-98.126955
499.000000,-98.125772
497.000000,-98.125132
492.000000,-98.124641
483.000000,-98.124210
468.000000,-98.122868
447.000000,-98.120973
416.000000,-98.119394
378.000000,-98.119210
335.000000,-98.118279
292.000000,-98.116326
257.000000,-98.114700
237.000000,-98.113483
237.000000,-98.112692
259.000000,-98.113237
301.000000,-98.114115
359.000000,-98.115232
426.000000,-98.116493
492.000000,-98.117896
548.000000,-98.119227
586.000000,-98.119748
600.000000,-98.119009
590.000000,-98.117418
558.000000,-98.113986
511.000000,-98.109894
459.000000,-98.106764
410.000000,-98.102896
370.000000,-98.100402
341.000000,-98.097846
324.000000,-98.096553
316.000000,-98.095825
315.000000,-98.095361
316.000000,-98.093627
317.000000,-98.093219
