Temperature (K),Energy (eV)
604.000000,-27.737789
631.000000,-27.737010
657.000000,-27.736309
683.000000,-27.736007
706.000000,-27.735752
726.000000,-27.735192
743.000000,-27.734583
756.000000,-27.733942
765.000000,-27.733102
769.000000,-27.732787
769.000000,-27.732748
765.000000,-27.732577
758.000000,-27.731971
748.000000,-27.731272
734.000000,-27.730012
718.000000,-27.729516
701.000000,-27.729367
684.000000,-27.728803
670.000000,-27.727798
659.000000,-27.726393
653.000000,-27.725682
651.000000,-27.725459
653.000000,-27.725231
655.000000,-27.724645
655.000000,-27.724245
650.000000,-27.723779
639.000000,-27.723314
622.000000,-27.722642
597.000000,-27.722309
569.000000,-27.721590
539.000000,-27.720220
512.000000,-27.718929
491.000000,-27.717138
480.000000,-27.715727
483.000000,-27.715232
502.000000,-27.715320
542.000000,-27.714969
603.000000,-27.715121
685.000000,-27.715968
785.000000,-27.716871
897.000000,-27.717215
1013.000000,-27.716872
1119.000000,-27.716169
1205.000000,-27.715426
1262.000000,-27.713888
1286.000000,-27.711260
1276.000000,-27.708357
1239.000000,-27.705665
1180.000000,-27.702177
1109.000000,-27.699231
1030.000000,-27.696946
949.000000,-27.694805
869.000000,-27.692034
793.000000,-27.688768
720.000000,-27.686862
652.000000,-27.685965
589.000000,-27.685099
535.000000,-27.684176
488.000000,-27.683315
450.000000,-27.682652
420.000000,-27.681770
398.000000,-27.680932
384.000000,-27.680422
377.000000,-27.680156
376.000000,-27.679971
382.000000,-27.679642
393.000000,-27.679280
408.000000,-27.679257
428.000000,-27.679276
450.000000,-27.679382
477.000000,-27.679228
507.000000,-27.678665
540.000000,-27.678379
575.000000,-27.678348
615.000000,-27.677895
657.000000,-27.677500
703.000000,-27.677005
750.000000,-27.676673
797.000000,-27.677045
843.000000,-27.677363
886.000000,-27.676729
923.000000,-27.676821
951.000000,-27.676449
969.000000,-27.675136
975.000000,-27.674605
970.000000,-27.674084
954.000000,-27.673397
929.000000,-27.672132
897.000000,-27.670484
859.000000,-27.669097
818.000000,-27.667833
774.000000,-27.666797
729.000000,-27.665526
686.000000,-27.663438
646.000000,-27.661640
608.000000,-27.660612
576.000000,-27.659096
551.000000,-27.658005
531.000000,-27.657663
521.000000,-27.656854
520.000000,-27.655586
527.000000,-27.654718
541.000000,-27.654565
563.000000,-27.654614
590.000000,-27.654486
621.000000,-27.654476
655.000000,-27.654635
690.000000,-27.654756
724.000000,-27.654564
756.000000,-27.654221
783.000000,-27.654096
804.000000,-27.653979
818.000000,-27.653620
823.000000,-27.653042
819.000000,-27.652512
806.000000,-27.651880
785.000000,-27.651047
756.000000,-27.649996
723.000000,-27.648920
687.000000,-27.647948
651.000000,-27.646758
619.000000,-27.645997
593.000000,-27.645207
576.000000,-27.644079
570.000000,-27.643139
575.000000,-27.642698
591.000000,-27.642371
619.000000,-27.642114
656.000000,-27.642234
700.000000,-27.642422
747.000000,-27.642275
794.000000,-27.641975
837.000000,-27.641702
872.000000,-27.641954
897.000000,-27.641507
911.000000,-27.640048
912.000000,-27.638903
900.000000,-27.637671
877.000000,-27.636189
844.000000,-27.635269
803.000000,-27.634180
757.000000,-27.633128
707.000000,-27.631741
654.000000,-27.630325
601.000000,-27.629126
550.000000,-27.628310
504.000000,-27.626990
464.000000,-27.625610
433.000000,-27.624439
411.000000,-27.623566
400.000000,-27.624080
397.000000,-27.624147
402.000000,-27.623667
412.000000,-27.623336
424.000000,-27.623470
438.000000,-27.623430
453.000000,-27.623379
469.000000,-27.622900
488.000000,-27.622138
511.000000,-27.620844
542.000000,-27.619602
585.000000,-27.618352
642.000000,-27.617388
713.000000,-27.617270
799.000000,-27.616782
894.000000,-27.616443
991.000000,-27.616541
1082.000000,-27.615934
1156.000000,-27.614747
1205.000000,-27.613887
1224.000000,-27.611587
1214.000000,-27.609464
1180.000000,-27.605739
1131.000000,-27.598912
1069.000000,-27.594336
1002.000000,-27.591810
934.000000,-27.590080
867.000000,-27.589374
801.000000,-27.588641
737.000000,-27.588007
676.000000,-27.587027
617.000000,-27.586490
564.000000,-27.585946
517.000000,-27.585251
478.000000,-27.584839
447.000000,-27.584443
424.000000,-27.583915
409.000000,-27.583415
401.000000,-27.583084
399.000000,-27.583108
404.000000,-27.582477
415.000000,-27.581803
430.000000,-27.581477
450.000000,-27.580941
475.000000,-27.579900
503.000000,-27.578884
535.000000,-27.577909
570.000000,-27.577385
609.000000,-27.576973
651.000000,-27.576819
698.000000,-27.576655
749.000000,-27.576282
805.000000,-27.576233
863.000000,-27.575926
922.000000,-27.575267
979.000000,-27.574742
1028.000000,-27.574018
1064.000000,-27.573171
1082.000000,-27.572512
1080.000000,-27.571754
1057.000000,-27.569746
1014.000000,-27.567438
954.000000,-27.565077
882.000000,-27.562995
805.000000,-27.561223
728.000000,-27.559415
657.000000,-27.557015
594.000000,-27.555053
543.000000,-27.553877
505.000000,-27.552896
480.000000,-27.551643
467.000000,-27.549696
464.000000,-27.548546
468.000000,-27.548506
479.000000,-27.548270
495.000000,-27.548017
513.000000,-27.547864
535.000000,-27.547734
558.000000,-27.547070
582.000000,-27.546681
608.000000,-27.546560
635.000000,-27.546063
666.000000,-27.544659
701.000000,-27.542930
741.000000,-27.542351
787.000000,-27.542672
838.000000,-27.546151
891.000000,-27.548047
942.000000,-27.546460
978.000000,-27.546877
991.000000,-27.547249
978.000000,-27.546686
939.000000,-27.544590
881.000000,-27.541833
812.000000,-27.540711
742.000000,-27.539783
680.000000,-27.537805
627.000000,-27.535769
585.000000,-27.534421
550.000000,-27.534235
521.000000,-27.528818
497.000000,-27.526071
477.000000,-27.525120
464.000000,-27.524544
462.000000,-27.523930
473.000000,-27.522889
498.000000,-27.521128
535.000000,-27.520079
580.000000,-27.519714
631.000000,-27.519670
683.000000,-27.519557
732.000000,-27.519457
773.000000,-27.519231
805.000000,-27.518290
828.000000,-27.517408
841.000000,-27.516076
847.000000,-27.513636
846.000000,-27.511492
838.000000,-27.510446
825.000000,-27.509836
810.000000,-27.508947
794.000000,-27.507584
782.000000,-27.506316
774.000000,-27.505196
771.000000,-27.503668
771.000000,-27.502381
774.000000,-27.501391
775.000000,-27.500188
773.000000,-27.499066
766.000000,-27.498323
752.000000,-27.497082
734.000000,-27.495202
711.000000,-27.493664
686.000000,-27.492480
661.000000,-27.490592
638.000000,-27.487749
619.000000,-27.485052
603.000000,-27.482596
594.000000,-27.479752
590.000000,-27.476910
590.000000,-27.475439
596.000000,-27.474408
608.000000,-27.472784
623.000000,-27.471212
643.000000,-27.469529
663.000000,-27.468791
684.000000,-27.468088
705.000000,-27.466984
724.000000,-27.466182
738.000000,-27.465840
748.000000,-27.465217
752.000000,-27.463781
750.000000,-27.462570
740.000000,-27.461730
725.000000,-27.460390
705.000000,-27.458587
680.000000,-27.457005
654.000000,-27.455622
627.000000,-27.454522
604.000000,-27.453171
586.000000,-27.451972
574.000000,-27.450931
570.000000,-27.450069
575.000000,-27.449384
588.000000,-27.448259
608.000000,-27.447291
634.000000,-27.447144
665.000000,-27.447032
699.000000,-27.447186
736.000000,-27.447218
774.000000,-27.446909
811.000000,-27.446505
844.000000,-27.445809
871.000000,-27.444533
890.000000,-27.443138
897.000000,-27.441835
893.000000,-27.440743
877.000000,-27.440296
851.000000,-27.439457
819.000000,-27.438173
786.000000,-27.436542
755.000000,-27.435263
729.000000,-27.434700
712.000000,-27.434391
705.000000,-27.433880
705.000000,-27.433733
710.000000,-27.433477
716.000000,-27.433044
719.000000,-27.433072
718.000000,-27.432747
710.000000,-27.431978
696.000000,-27.430998
675.000000,-27.429832
651.000000,-27.428049
623.000000,-27.426491
593.000000,-27.425386
566.000000,-27.423906
543.000000,-27.421892
525.000000,-27.420066
514.000000,-27.418835
510.000000,-27.417942
513.000000,-27.418180
522.000000,-27.418099
538.000000,-27.417779
558.000000,-27.417880
582.000000,-27.417485
607.000000,-27.417254
634.000000,-27.417276
661.000000,-27.416955
689.000000,-27.417027
717.000000,-27.416824
746.000000,-27.415512
774.000000,-27.413872
801.000000,-27.411747
824.000000,-27.407845
841.000000,-27.406382
851.000000,-27.405549
853.000000,-27.405370
849.000000,-27.402594
839.000000,-27.399753
823.000000,-27.398844
804.000000,-27.397349
782.000000,-27.396737
762.000000,-27.395125
743.000000,-27.393452
727.000000,-27.391268
714.000000,-27.390005
704.000000,-27.389246
699.000000,-27.388090
698.000000,-27.387367
700.000000,-27.387859
706.000000,-27.387485
717.000000,-27.386125
729.000000,-27.384880
743.000000,-27.383642
755.000000,-27.382805
765.000000,-27.382579
770.000000,-27.382165
770.000000,-27.380925
763.000000,-27.378963
749.000000,-27.376782
728.000000,-27.374861
703.000000,-27.373280
677.000000,-27.371464
653.000000,-27.369907
635.000000,-27.368576
625.000000,-27.367099
622.000000,-27.365117
625.000000,-27.363349
631.000000,-27.362509
638.000000,-27.361450
645.000000,-27.360572
649.000000,-27.360726
651.000000,-27.360029
652.000000,-27.359413
652.000000,-27.358542
652.000000,-27.357560
652.000000,-27.356633
652.000000,-27.355746
653.000000,-27.355485
653.000000,-27.354727
652.000000,-27.353621
650.000000,-27.351969
645.000000,-27.351303
636.000000,-27.350334
623.000000,-27.349353
608.000000,-27.348485
590.000000,-27.347028
573.000000,-27.344955
559.000000,-27.343452
550.000000,-27.342745
552.000000,-27.342403
564.000000,-27.341710
587.000000,-27.341037
617.000000,-27.340262
651.000000,-27.339584
683.000000,-27.338653
712.000000,-27.337794
734.000000,-27.337172
750.000000,-27.336214
762.000000,-27.334336
773.000000,-27.331707
784.000000,-27.328984
798.000000,-27.326387
814.000000,-27.324156
831.000000,-27.324004
849.000000,-27.323452
865.000000,-27.322109
875.000000,-27.321217
877.000000,-27.320717
871.000000,-27.320035
856.000000,-27.319154
835.000000,-27.316598
810.000000,-27.313258
780.000000,-27.312167
750.000000,-27.310804
723.000000,-27.309084
701.000000,-27.307552
683.000000,-27.306798
672.000000,-27.305724
667.000000,-27.304127
667.000000,-27.302496
671.000000,-27.302583
677.000000,-27.302354
686.000000,-27.301596
693.000000,-27.301409
699.000000,-27.301257
703.000000,-27.300591
704.000000,-27.299024
702.000000,-27.297336
696.000000,-27.296113
687.000000,-27.294487
676.000000,-27.293166
663.000000,-27.292234
650.000000,-27.291491
638.000000,-27.290753
630.000000,-27.290305
627.000000,-27.289884
630.000000,-27.289365
639.000000,-27.288886
657.000000,-27.288783
681.000000,-27.288459
711.000000,-27.288374
744.000000,-27.288685
778.000000,-27.288872
810.000000,-27.289161
837.000000,-27.289362
857.000000,-27.289134
866.000000,-27.288719
864.000000,-27.288411
851.000000,-27.287591
826.000000,-27.286244
790.000000,-27.284949
747.000000,-27.283549
698.000000,-27.282216
647.000000,-27.280947
597.000000,-27.280277
552.000000,-27.279525
515.000000,-27.278329
488.000000,-27.277340
471.000000,-27.276613
467.000000,-27.276105
474.000000,-27.275845
493.000000,-27.275966
522.000000,-27.275977
559.000000,-27.275769
603.000000,-27.275810
651.000000,-27.275927
698.000000,-27.276249
743.000000,-27.276342
781.000000,-27.275945
808.000000,-27.275799
823.000000,-27.275431
823.000000,-27.274550
808.000000,-27.273406
780.000000,-27.271645
743.000000,-27.269419
704.000000,-27.267437
669.000000,-27.264899
643.000000,-27.263454
632.000000,-27.262763
636.000000,-27.262246
655.000000,-27.262616
685.000000,-27.263012
720.000000,-27.263071
756.000000,-27.263412
789.000000,-27.263829
814.000000,-27.264361
830.000000,-27.264120
836.000000,-27.262612
831.000000,-27.261305
814.000000,-27.260501
789.000000,-27.259048
757.000000,-27.256962
723.000000,-27.254302
689.000000,-27.251052
660.000000,-27.248078
639.000000,-27.246186
625.000000,-27.245886
619.000000,-27.246111
622.000000,-27.246153
629.000000,-27.245650
640.000000,-27.245290
652.000000,-27.244716
665.000000,-27.244086
678.000000,-27.243660
695.000000,-27.242215
716.000000,-27.240518
741.000000,-27.239142
770.000000,-27.237777
803.000000,-27.236728
838.000000,-27.235071
870.000000,-27.232685
894.000000,-27.231258
906.000000,-27.230330
903.000000,-27.229970
886.000000,-27.228935
854.000000,-27.227686
811.000000,-27.226853
761.000000,-27.224188
708.000000,-27.222277
654.000000,-27.221267
606.000000,-27.219342
564.000000,-27.217759
530.000000,-27.216249
504.000000,-27.215392
486.000000,-27.214894
475.000000,-27.214628
470.000000,-27.214522
469.000000,-27.214474
473.000000,-27.214441
479.000000,-27.214167
487.000000,-27.213606
497.000000,-27.213041
508.000000,-27.212445
521.000000,-27.211995
537.000000,-27.211481
557.000000,-27.210811
580.000000,-27.209856
608.000000,-27.208711
641.000000,-27.208011
680.000000,-27.207582
724.000000,-27.207262
774.000000,-27.206154
830.000000,-27.204663
890.000000,-27.203684
952.000000,-27.202264
1014.000000,-27.200705
1073.000000,-27.199192
1124.000000,-27.198017
1161.000000,-27.197863
1181.000000,-27.197510
1181.000000,-27.196008
