Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000153,0.000130,0.000158,0.000441
0.004000,0.000614,0.000521,0.000633,0.001768
0.006000,0.001388,0.001175,0.001421,0.003984
0.008000,0.002482,0.002098,0.002519,0.007099
0.010000,0.003910,0.003297,0.003926,0.011133
0.012000,0.005691,0.004784,0.005639,0.016113
0.014000,0.007849,0.006569,0.007654,0.022071
0.016000,0.010409,0.008661,0.009967,0.029037
0.018000,0.013407,0.011074,0.012576,0.037058
0.020000,0.016878,0.013822,0.015472,0.046172
0.022000,0.020866,0.016922,0.018651,0.056440
0.024000,0.025433,0.020391,0.022118,0.067942
0.026000,0.030637,0.024249,0.025869,0.080755
0.028000,0.036556,0.028504,0.029919,0.094979
0.030000,0.043269,0.033182,0.034263,0.110715
0.032000,0.050853,0.038289,0.038896,0.128038
0.034000,0.059399,0.043837,0.043823,0.147059
0.036000,0.069005,0.049842,0.049041,0.167889
0.038000,0.079759,0.056306,0.054557,0.190622
0.040000,0.091735,0.063223,0.060357,0.215316
0.042000,0.105019,0.070585,0.066446,0.242050
0.044000,0.119656,0.078401,0.072787,0.270845
0.046000,0.135674,0.086643,0.079350,0.301667
0.048000,0.153064,0.095282,0.086110,0.334456
0.050000,0.171810,0.104306,0.093029,0.369146
0.052000,0.191813,0.113655,0.100048,0.405516
0.054000,0.212955,0.123284,0.107110,0.443349
0.056000,0.235088,0.133148,0.114137,0.482373
0.058000,0.258030,0.143192,0.121053,0.522276
0.060000,0.281559,0.153350,0.127776,0.562685
0.062000,0.305395,0.163527,0.134206,0.603128
0.064000,0.329274,0.173656,0.140254,0.643184
0.066000,0.352888,0.183633,0.145828,0.682349
0.068000,0.375854,0.193360,0.150787,0.720001
0.070000,0.397870,0.202768,0.155023,0.755661
0.072000,0.418576,0.211761,0.158426,0.788763
0.074000,0.437553,0.220181,0.160881,0.818615
0.076000,0.454482,0.227939,0.162292,0.844713
0.078000,0.469044,0.234917,0.162595,0.866556
0.080000,0.481041,0.241066,0.161765,0.883872
0.082000,0.490241,0.246300,0.159809,0.896350
0.084000,0.496527,0.250545,0.156780,0.903852
0.086000,0.499895,0.253778,0.152779,0.906452
0.088000,0.500427,0.255996,0.147958,0.904381
0.090000,0.498326,0.257231,0.142520,0.898076
0.092000,0.493866,0.257552,0.136675,0.888092
0.094000,0.487368,0.257044,0.130628,0.875040
0.096000,0.479207,0.255809,0.124609,0.859626
0.098000,0.469783,0.253964,0.118832,0.842579
0.100000,0.459471,0.251618,0.113470,0.824559
0.102000,0.448646,0.248883,0.108674,0.806203
0.104000,0.437623,0.245853,0.104557,0.788033
0.106000,0.426703,0.242615,0.101184,0.770501
0.108000,0.416107,0.239228,0.098589,0.753925
0.110000,0.406038,0.235743,0.096773,0.738554
0.112000,0.396653,0.232180,0.095716,0.724550
0.114000,0.388113,0.228584,0.095352,0.712048
0.116000,0.380521,0.224967,0.095599,0.701086
0.118000,0.373959,0.221338,0.096374,0.691671
0.120000,0.368490,0.217731,0.097555,0.683775
0.122000,0.364162,0.214142,0.099046,0.677349
0.124000,0.360996,0.210589,0.100748,0.672334
0.126000,0.359016,0.207087,0.102577,0.668680
0.128000,0.358208,0.203658,0.104458,0.666323
0.130000,0.358538,0.200334,0.106344,0.665217
0.132000,0.359984,0.197151,0.108205,0.665339
0.134000,0.362502,0.194137,0.110031,0.666670
0.136000,0.366041,0.191341,0.111816,0.669198
0.138000,0.370536,0.188800,0.113574,0.672910
0.140000,0.375905,0.186571,0.115335,0.677812
0.142000,0.382072,0.184695,0.117116,0.683883
0.144000,0.388963,0.183194,0.118955,0.691113
0.146000,0.396507,0.182112,0.120876,0.699495
0.148000,0.404605,0.181505,0.122902,0.709012
0.150000,0.413184,0.181404,0.125040,0.719629
0.152000,0.422183,0.181828,0.127267,0.731277
0.154000,0.431528,0.182801,0.129574,0.743903
0.156000,0.441175,0.184348,0.131948,0.757471
0.158000,0.451104,0.186478,0.134364,0.771946
0.160000,0.461254,0.189212,0.136794,0.787260
0.162000,0.471614,0.192556,0.139186,0.803355
0.164000,0.482172,0.196515,0.141507,0.820194
