Scale Factor,Volume (Å³),Energy (eV/atom)
0.96000000,43.95263449,-3.71513462
0.98000000,44.86831437,-3.72884750
1.00000000,45.78399426,-3.73747420
1.02000000,46.69967415,-3.74158764
1.04000000,47.61535403,-3.74170136
1.06000000,48.53103392,-3.73826838
1.08000000,49.44671380,-3.73167992
