Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000363,0.000029,0.000964,0.001355
0.004000,0.001450,0.000115,0.003866,0.005431
0.006000,0.003255,0.000259,0.008735,0.012249
0.008000,0.005756,0.000461,0.015624,0.021841
0.010000,0.008933,0.000724,0.024607,0.034263
0.012000,0.012740,0.001049,0.035773,0.049561
0.014000,0.017130,0.001442,0.049228,0.067799
0.016000,0.022013,0.001908,0.065072,0.088993
0.018000,0.027276,0.002453,0.083437,0.113166
0.020000,0.032793,0.003090,0.104525,0.140409
0.022000,0.038396,0.003834,0.128508,0.170738
0.024000,0.043913,0.004704,0.155581,0.204198
0.026000,0.049172,0.005728,0.185887,0.240786
0.028000,0.054066,0.006936,0.219701,0.280703
0.030000,0.058408,0.008362,0.257268,0.324038
0.032000,0.062131,0.010048,0.298865,0.371045
0.034000,0.065191,0.012044,0.344637,0.421872
0.036000,0.067637,0.014399,0.394883,0.476920
0.038000,0.069566,0.017168,0.449784,0.536518
0.040000,0.071137,0.020404,0.509582,0.601123
0.042000,0.072564,0.024160,0.574446,0.671169
0.044000,0.074089,0.028468,0.644441,0.746999
0.046000,0.075946,0.033350,0.719482,0.828778
0.048000,0.078359,0.038805,0.799437,0.916602
0.050000,0.081513,0.044785,0.883882,1.010179
0.052000,0.085532,0.051235,0.972590,1.109357
0.054000,0.090459,0.058052,1.064939,1.213450
0.056000,0.096249,0.065120,1.160280,1.321649
0.058000,0.102728,0.072281,1.257670,1.432680
0.060000,0.109604,0.079372,1.356098,1.545073
0.062000,0.116434,0.086236,1.454224,1.656894
0.064000,0.122761,0.092752,1.551238,1.766751
0.066000,0.128065,0.098829,1.645989,1.872883
0.068000,0.131849,0.104400,1.737717,1.973965
0.070000,0.133723,0.109402,1.825580,2.068705
0.072000,0.133487,0.113782,1.909082,2.156350
0.074000,0.131110,0.117460,1.988053,2.236622
0.076000,0.126734,0.120342,2.062201,2.309276
0.078000,0.120622,0.122298,2.131281,2.374200
0.080000,0.113120,0.123200,2.195299,2.431619
0.082000,0.104529,0.122925,2.254149,2.481603
0.084000,0.095130,0.121395,2.308041,2.524566
0.086000,0.085157,0.118615,2.356997,2.560769
0.088000,0.074833,0.114658,2.400927,2.590418
0.090000,0.064456,0.109648,2.440324,2.614428
0.092000,0.054345,0.103780,2.475496,2.633621
0.094000,0.044878,0.097301,2.506969,2.649148
0.096000,0.036446,0.090489,2.535477,2.662411
0.098000,0.029472,0.083627,2.562023,2.675123
0.100000,0.024292,0.076974,2.587261,2.688527
0.102000,0.021157,0.070760,2.611813,2.703730
0.104000,0.020204,0.065138,2.636176,2.721518
0.106000,0.021442,0.060203,2.660694,2.742339
0.108000,0.024794,0.055978,2.685709,2.766482
0.110000,0.030122,0.052423,2.711466,2.794012
0.112000,0.037214,0.049460,2.738048,2.824722
0.114000,0.045853,0.046979,2.765519,2.858351
0.116000,0.055774,0.044832,2.793862,2.894468
0.118000,0.066762,0.042891,2.823117,2.932769
0.120000,0.078557,0.041024,2.853255,2.972836
0.122000,0.090878,0.039132,2.884196,3.014205
0.124000,0.103502,0.037146,2.915914,3.056562
0.126000,0.116165,0.035027,2.948279,3.099471
0.128000,0.128688,0.032774,2.981288,3.142751
0.130000,0.140772,0.030387,3.014744,3.185904
0.132000,0.152131,0.027898,3.048509,3.228539
0.134000,0.162498,0.025348,3.082438,3.270284
0.136000,0.171639,0.022774,3.116421,3.310834
0.138000,0.179375,0.020215,3.150396,3.349987
0.140000,0.185488,0.017715,3.184249,3.387452
0.142000,0.189881,0.015310,3.217934,3.423126
0.144000,0.192486,0.013035,3.251395,3.456916
0.146000,0.193329,0.010911,3.284676,3.488917
0.148000,0.192491,0.008963,3.317800,3.519253
0.150000,0.190071,0.007212,3.350681,3.547964
0.152000,0.186223,0.005678,3.383253,3.575153
0.154000,0.181125,0.004374,3.415382,3.600881
0.156000,0.174960,0.003307,3.446880,3.625148
0.158000,0.167900,0.002480,3.477442,3.647822
0.160000,0.160126,0.001890,3.506552,3.668568
0.162000,0.151771,0.001527,3.533716,3.687015
0.164000,0.142979,0.001373,3.558291,3.702643
0.166000,0.133868,0.001398,3.579681,3.714947
0.168000,0.124574,0.001571,3.597216,3.723362
0.170000,0.115240,0.001855,3.610389,3.727484
0.172000,0.106000,0.002211,3.618895,3.727106
0.174000,0.097016,0.002598,3.622622,3.722237
0.176000,0.088444,0.002977,3.621694,3.713115
0.178000,0.080439,0.003314,3.616428,3.700181
0.180000,0.073141,0.003581,3.607371,3.684092
0.182000,0.066654,0.003754,3.595161,3.665569
0.184000,0.061037,0.003816,3.580503,3.645355
0.186000,0.056303,0.003759,3.564131,3.624193
0.188000,0.052441,0.003585,3.546709,3.602734
0.190000,0.049391,0.003305,3.528875,3.581572
0.192000,0.047067,0.002946,3.511062,3.561075
0.194000,0.045410,0.002545,3.493713,3.541669
0.196000,0.044340,0.002159,3.477153,3.523651
0.198000,0.043772,0.001856,3.461583,3.507212
0.200000,0.043644,0.001721,3.447159,3.492523
0.202000,0.043898,0.001845,3.434039,3.479782
0.204000,0.044497,0.002331,3.422238,3.469066
0.206000,0.045417,0.003284,3.411774,3.460476
0.208000,0.046652,0.004815,3.402600,3.454067
0.210000,0.048202,0.007025,3.394654,3.449881
0.212000,0.050084,0.010017,3.387829,3.447930
0.214000,0.052318,0.013880,3.382010,3.448208
0.216000,0.054939,0.018672,3.377047,3.450657
0.218000,0.057973,0.024431,3.372778,3.455182
0.220000,0.061461,0.031177,3.369034,3.461672
0.222000,0.065444,0.038904,3.365670,3.470018
0.224000,0.069963,0.047564,3.362502,3.480029
0.226000,0.075045,0.057091,3.359410,3.491545
0.228000,0.080723,0.067339,3.356188,3.504250
0.230000,0.087026,0.078135,3.352621,3.517782
0.232000,0.093963,0.089245,3.348484,3.531691
0.234000,0.101531,0.100387,3.343575,3.545492
0.236000,0.109734,0.111277,3.337726,3.558737
0.238000,0.118573,0.121588,3.330778,3.570939
0.240000,0.128058,0.131032,3.322565,3.581655
0.242000,0.138195,0.139331,3.312969,3.590495
0.244000,0.148981,0.146238,3.301936,3.597154
0.246000,0.160438,0.151594,3.289440,3.601472
0.248000,0.172584,0.155342,3.275511,3.603437
0.250000,0.185443,0.157508,3.260191,3.603142
0.252000,0.199035,0.158209,3.243608,3.600852
0.254000,0.213357,0.157591,3.225929,3.596878
0.256000,0.228354,0.155841,3.207412,3.591608
0.258000,0.243973,0.153158,3.188303,3.585434
0.260000,0.260105,0.149751,3.168848,3.578704
0.262000,0.276619,0.145809,3.149333,3.571761
0.264000,0.293368,0.141498,3.130047,3.564912
0.266000,0.310126,0.137004,3.111257,3.558387
0.268000,0.326747,0.132437,3.093267,3.552452
0.270000,0.343074,0.127897,3.076339,3.547310
0.272000,0.358962,0.123471,3.060739,3.543172
0.274000,0.374330,0.119250,3.046678,3.540259
0.276000,0.389097,0.115299,3.034355,3.538750
0.278000,0.403226,0.111679,3.024024,3.538928
0.280000,0.416738,0.108429,3.015879,3.541046
0.282000,0.429764,0.105574,3.010124,3.545463
0.284000,0.442402,0.103133,3.006843,3.552377
0.286000,0.454774,0.101117,3.006121,3.562012
0.288000,0.466931,0.099529,3.007887,3.574348
0.290000,0.478911,0.098357,3.011996,3.589264
0.292000,0.490737,0.097600,3.018262,3.606598
0.294000,0.502359,0.097244,3.026412,3.626014
0.296000,0.513665,0.097267,3.036130,3.647063
0.298000,0.524382,0.097655,3.047042,3.669080
0.300000,0.534190,0.098383,3.058751,3.691324
0.302000,0.542653,0.099444,3.070769,3.712866
0.304000,0.549335,0.100835,3.082544,3.732714
0.306000,0.553731,0.102594,3.093589,3.749914
0.308000,0.555404,0.104749,3.103339,3.763492
0.310000,0.553977,0.107415,3.111300,3.772692
0.312000,0.549275,0.110749,3.117027,3.777052
0.314000,0.541317,0.114939,3.120080,3.776336
0.316000,0.530386,0.120278,3.120212,3.770876
0.318000,0.516996,0.127103,3.117148,3.761246
0.320000,0.501684,0.135794,3.110654,3.748132
0.322000,0.485171,0.146755,3.100485,3.732411
0.324000,0.468158,0.160358,3.086565,3.715081
0.326000,0.451321,0.176910,3.068754,3.696985
0.328000,0.435191,0.196650,3.047043,3.678885
0.330000,0.420197,0.219678,3.021470,3.661345
0.332000,0.406562,0.245917,2.992159,3.644638
0.334000,0.394365,0.275160,2.959265,3.628790
0.336000,0.383741,0.306811,2.923086,3.613638
0.338000,0.374667,0.340185,2.884081,3.598933
0.340000,0.367041,0.374505,2.842825,3.584370
0.342000,0.360718,0.408966,2.799900,3.569584
0.344000,0.355572,0.442710,2.756021,3.554303
0.346000,0.351477,0.475158,2.711997,3.538632
0.348000,0.348364,0.505669,2.668426,3.522459
0.350000,0.346162,0.533926,2.626246,3.506335
0.352000,0.344829,0.559777,2.586147,3.490754
0.354000,0.344370,0.583342,2.548773,3.476485
0.356000,0.344812,0.604924,2.514700,3.464435
0.358000,0.346155,0.624893,2.484352,3.455400
0.360000,0.348409,0.643743,2.458019,3.450172
0.362000,0.351587,0.661956,2.435823,3.449366
0.364000,0.355657,0.680034,2.417816,3.453507
0.366000,0.360551,0.698393,2.403867,3.462810
0.368000,0.366099,0.717406,2.393849,3.477353
0.370000,0.372152,0.737381,2.387395,3.496927
0.372000,0.378509,0.758547,2.384137,3.521193
0.374000,0.384904,0.781006,2.383681,3.549591
0.376000,0.391078,0.804794,2.385561,3.581433
0.378000,0.396778,0.829874,2.389299,3.615950
0.380000,0.401789,0.856245,2.394456,3.652490
0.382000,0.405965,0.883723,2.400539,3.690226
0.384000,0.409173,0.912118,2.407118,3.728410
0.386000,0.411413,0.941281,2.413830,3.766524
0.388000,0.412640,0.970880,2.420393,3.803912
0.390000,0.412875,1.000600,2.426580,3.840055
0.392000,0.412192,1.030093,2.432220,3.874505
0.394000,0.410684,1.058951,2.437188,3.906823
0.396000,0.408444,1.086747,2.441438,3.936630
0.398000,0.405611,1.113012,2.444927,3.963550
0.400000,0.402219,1.137218,2.447721,3.987158
0.402000,0.398296,1.158847,2.449812,4.006955
0.404000,0.393895,1.177343,2.451195,4.022433
0.406000,0.388979,1.192220,2.452064,4.033262
0.408000,0.383476,1.203094,2.452624,4.039195
0.410000,0.377337,1.209798,2.453156,4.040291
0.412000,0.370518,1.212279,2.453878,4.036675
0.414000,0.362984,1.210711,2.455152,4.028847
0.416000,0.354743,1.205394,2.457223,4.017361
0.418000,0.345842,1.196831,2.460641,4.003314
0.420000,0.336349,1.185520,2.465619,3.987488
0.422000,0.326402,1.172124,2.472531,3.971056
0.424000,0.316175,1.157216,2.481638,3.955029
0.426000,0.305892,1.141332,2.493098,3.940322
0.428000,0.295712,1.124959,2.506749,3.927421
0.430000,0.285787,1.108418,2.522258,3.916464
0.432000,0.276308,1.092053,2.539558,3.907918
0.434000,0.267395,1.076092,2.558245,3.901732
0.436000,0.259188,1.060645,2.577946,3.897779
0.438000,0.251729,1.045856,2.598195,3.895781
0.440000,0.245045,1.031741,2.618535,3.895321
0.442000,0.239144,1.018339,2.638596,3.896080
0.444000,0.234021,1.005599,2.658038,3.897658
0.446000,0.229653,0.993502,2.676574,3.899728
0.448000,0.225999,0.981997,2.694022,3.902018
0.450000,0.223054,0.971083,2.710275,3.904412
0.452000,0.220802,0.960715,2.725247,3.906764
0.454000,0.219251,0.950882,2.738945,3.909078
0.456000,0.218426,0.941532,2.751497,3.911455
0.458000,0.218386,0.932692,2.763000,3.914077
0.460000,0.219196,0.924330,2.773747,3.917273
0.462000,0.220950,0.916434,2.783943,3.921327
0.464000,0.223748,0.908972,2.793936,3.926657
0.466000,0.227690,0.901867,2.804093,3.933650
0.468000,0.232882,0.895059,2.814867,3.942808
0.470000,0.239403,0.888387,2.826559,3.954348
0.472000,0.247323,0.881698,2.839573,3.968593
0.474000,0.256669,0.874858,2.854381,3.985907
0.476000,0.267388,0.867684,2.871336,4.006409
0.478000,0.279413,0.860052,2.890984,4.030449
0.480000,0.292605,0.851796,2.913688,4.058090
0.482000,0.306757,0.842736,2.939955,4.089448
0.484000,0.321635,0.832754,2.970254,4.124643
0.486000,0.337019,0.821733,3.005201,4.163953
0.488000,0.352678,0.809644,3.045416,4.207739
0.490000,0.368495,0.796482,3.091608,4.256585
0.492000,0.384377,0.782268,3.144403,4.311048
0.494000,0.399788,0.766958,3.204859,4.371605
0.496000,0.414334,0.750586,3.273639,4.438559
0.498000,0.429096,0.733496,3.350049,4.512642
0.500000,0.444087,0.715786,3.434188,4.594061
0.502000,0.459295,0.697618,3.525565,4.682479
0.504000,0.474720,0.679240,3.623797,4.777758
0.506000,0.490416,0.660878,3.728391,4.879685
0.508000,0.506276,0.642831,3.838232,4.987339
0.510000,0.522171,0.625394,3.952053,5.099618
0.512000,0.537947,0.608802,4.068169,5.214919
0.514000,0.553465,0.593258,4.185015,5.331738
0.516000,0.568581,0.578898,4.300687,5.448166
0.518000,0.583128,0.565840,4.413100,5.562069
0.520000,0.597006,0.554127,4.520002,5.671136
0.522000,0.610161,0.543759,4.619592,5.773511
0.524000,0.622610,0.534576,4.708552,5.865738
0.526000,0.634345,0.526492,4.784395,5.945232
0.528000,0.645394,0.519327,4.844282,6.009003
0.530000,0.655856,0.512910,4.886102,6.054867
0.532000,0.665863,0.507085,4.908157,6.081105
0.534000,0.675580,0.501731,4.909934,6.087244
0.536000,0.685186,0.496785,4.892095,6.074066
0.538000,0.694894,0.492195,4.856356,6.043445
0.540000,0.704879,0.487931,4.805352,5.998163
0.542000,0.715309,0.483957,4.742259,5.941525
0.544000,0.726322,0.480215,4.670555,5.877092
0.546000,0.738002,0.476602,4.593731,5.808335
0.548000,0.750412,0.472931,4.515067,5.738410
0.550000,0.763561,0.468948,4.437560,5.670070
0.552000,0.777366,0.464376,4.364077,5.605819
0.554000,0.791846,0.458819,4.297224,5.547889
0.556000,0.806956,0.451909,4.239046,5.497911
0.558000,0.822537,0.443360,4.191333,5.457230
0.560000,0.838750,0.433033,4.155078,5.426861
0.562000,0.855647,0.420964,4.130595,5.407206
0.564000,0.873486,0.407383,4.117605,5.398474
0.566000,0.892637,0.392682,4.115552,5.400872
0.568000,0.913407,0.377363,4.123335,5.414105
0.570000,0.936068,0.361973,4.139453,5.437494
0.572000,0.960803,0.346956,4.162619,5.470378
0.574000,0.987506,0.332675,4.191455,5.511636
0.576000,1.015839,0.319358,4.224363,5.559560
0.578000,1.045167,0.307073,4.259803,5.612044
0.580000,1.074708,0.295787,4.296354,5.666849
0.582000,1.103493,0.285380,4.332613,5.721485
0.584000,1.130641,0.275784,4.367423,5.773848
0.586000,1.155467,0.267030,4.399810,5.822307
0.588000,1.177451,0.259299,4.429283,5.866033
0.590000,1.196339,0.252913,4.455776,5.905028
0.592000,1.212149,0.248273,4.479557,5.939980
0.594000,1.224913,0.245828,4.501130,5.971872
0.596000,1.234738,0.245923,4.521088,6.001749
0.598000,1.241749,0.248775,4.539922,6.030446
0.600000,1.246118,0.254435,4.558087,6.058641
0.602000,1.247905,0.262804,4.575852,6.086561
0.604000,1.247187,0.273720,4.593490,6.114397
0.606000,1.244098,0.286965,4.611072,6.142134
0.608000,1.238653,0.302280,4.628838,6.169771
0.610000,1.231091,0.319447,4.646799,6.197337
0.612000,1.221613,0.338374,4.665040,6.225026
0.614000,1.210513,0.358978,4.683690,6.253182
0.616000,1.198120,0.381216,4.702931,6.282266
0.618000,1.184834,0.405144,4.722996,6.312973
0.620000,1.171144,0.430854,4.744124,6.346122
0.622000,1.157520,0.458415,4.766449,6.382384
0.624000,1.144524,0.487926,4.790193,6.422643
0.626000,1.132629,0.519570,4.815652,6.467851
0.628000,1.122304,0.553434,4.843047,6.518785
0.630000,1.113942,0.589602,4.872677,6.576221
0.632000,1.107942,0.628232,4.904832,6.641005
0.634000,1.104559,0.669309,4.939955,6.713824
0.636000,1.104140,0.712915,4.978298,6.795353
0.638000,1.106756,0.759109,5.020370,6.886234
0.640000,1.112630,0.807735,5.066515,6.986879
0.642000,1.121822,0.858744,5.117292,7.097858
0.644000,1.134265,0.911964,5.173305,7.219534
0.646000,1.149795,0.967217,5.235089,7.352101
0.648000,1.168189,1.024368,5.303154,7.495710
0.650000,1.189079,1.083030,5.377860,7.649969
0.652000,1.211945,1.142963,5.459434,7.814341
0.654000,1.236120,1.203719,5.547857,7.987697
0.656000,1.260824,1.264661,5.642487,8.167972
0.658000,1.285257,1.325197,5.742243,8.352697
0.660000,1.308405,1.384515,5.845054,8.537974
0.662000,1.329255,1.441698,5.947981,8.718934
0.664000,1.346731,1.495801,6.047179,8.889711
0.666000,1.359897,1.546202,6.139180,9.045278
0.668000,1.368044,1.592297,6.219672,9.180013
0.670000,1.370878,1.633908,6.285409,9.290196
0.672000,1.368762,1.671300,6.334875,9.374937
0.674000,1.362732,1.705035,6.368399,9.436166
0.676000,1.354187,1.735844,6.387741,9.477773
0.678000,1.344726,1.764377,6.395873,9.504977
0.680000,1.335848,1.791251,6.395953,9.523052
0.682000,1.328686,1.816500,6.390758,9.535944
0.684000,1.324014,1.839827,6.382357,9.546198
0.686000,1.321785,1.860609,6.372433,9.554828
0.688000,1.321657,1.877755,6.362028,9.561440
0.690000,1.323158,1.889824,6.351141,9.564124
0.692000,1.325518,1.895139,6.339864,9.560522
0.694000,1.327813,1.891934,6.328331,9.548079
0.696000,1.329223,1.878609,6.316531,9.524364
0.698000,1.328912,1.854106,6.304428,9.487446
0.700000,1.326334,1.817947,6.292059,9.436341
0.702000,1.320995,1.770453,6.279594,9.371042
0.704000,1.312766,1.712688,6.267307,9.292761
0.706000,1.301663,1.646444,6.255765,9.203872
0.708000,1.287862,1.574070,6.245676,9.107608
0.710000,1.271703,1.497978,6.237822,9.007503
0.712000,1.253625,1.420493,6.233001,8.907119
0.714000,1.234053,1.343636,6.232035,8.809723
0.716000,1.213402,1.269036,6.235784,8.718222
0.718000,1.192196,1.198088,6.245004,8.635289
0.720000,1.170834,1.131751,6.260282,8.562868
0.722000,1.149652,1.070725,6.281851,8.502227
0.724000,1.129166,1.015636,6.309759,8.454561
0.726000,1.109668,0.966596,6.343793,8.420057
0.728000,1.091445,0.923786,6.383389,8.398621
0.730000,1.074692,0.887137,6.427651,8.389481
0.732000,1.059582,0.856620,6.475433,8.391635
0.734000,1.046227,0.832017,6.525515,8.403758
0.736000,1.034700,0.813028,6.576641,8.424369
0.738000,1.025034,0.799371,6.627467,8.451871
0.740000,1.017238,0.790447,6.677083,8.484767
0.742000,1.011388,0.785637,6.724145,8.521170
0.744000,1.007428,0.783758,6.767483,8.558669
0.746000,1.005388,0.783770,6.806595,8.595753
0.748000,1.005470,0.784620,6.840875,8.630966
0.750000,1.007679,0.785263,6.869964,8.662906
0.752000,1.012017,0.784807,6.893626,8.690450
0.754000,1.018465,0.782650,6.911883,8.712999
0.756000,1.026949,0.778473,6.925006,8.730428
0.758000,1.037343,0.772386,6.933303,8.743032
0.760000,1.049417,0.764797,6.937202,8.751416
0.762000,1.062868,0.756231,6.937287,8.756386
0.764000,1.077390,0.747378,6.934090,8.758857
0.766000,1.092569,0.738869,6.928156,8.759594
0.768000,1.108007,0.731273,6.919933,8.759213
0.770000,1.123252,0.725022,6.909643,8.757917
0.772000,1.137794,0.720469,6.898177,8.756440
0.774000,1.151131,0.717689,6.886046,8.754866
0.776000,1.163004,0.716558,6.873298,8.752860
0.778000,1.172863,0.717043,6.860157,8.750063
0.780000,1.180086,0.718940,6.846610,8.745637
0.782000,1.184209,0.722007,6.832662,8.738878
0.784000,1.184803,0.725968,6.818150,8.728921
0.786000,1.181578,0.730503,6.802897,8.714978
0.788000,1.174409,0.735303,6.786860,8.696572
0.790000,1.163383,0.740065,6.769953,8.673402
0.792000,1.148956,0.744534,6.752255,8.645745
0.794000,1.131561,0.748405,6.733901,8.613867
0.796000,1.111902,0.751519,6.715175,8.578596
0.798000,1.090704,0.753738,6.696225,8.540666
0.800000,1.068703,0.754884,6.677365,8.500952
0.802000,1.046596,0.754890,6.658810,8.460295
0.804000,1.024962,0.753743,6.640817,8.419522
0.806000,1.004277,0.751539,6.623729,8.379544
0.808000,0.984944,0.748411,6.607749,8.341104
0.810000,0.967176,0.744579,6.593174,8.304929
0.812000,0.951179,0.740350,6.580275,8.271804
0.814000,0.936998,0.736090,6.569298,8.242386
0.816000,0.924520,0.732281,6.560412,8.217213
0.818000,0.913672,0.729431,6.553833,8.196936
0.820000,0.904225,0.728080,6.549808,8.182114
0.822000,0.895981,0.728778,6.548435,8.173194
0.824000,0.888579,0.732121,6.549749,8.170449
0.826000,0.881629,0.738698,6.553758,8.174085
0.828000,0.874860,0.748867,6.560420,8.184147
0.830000,0.867986,0.762935,6.569517,8.200438
0.832000,0.860723,0.781184,6.580801,8.222709
0.834000,0.852904,0.803600,6.593925,8.250429
0.836000,0.844430,0.830119,6.608529,8.283078
0.838000,0.835302,0.860375,6.624322,8.319998
0.840000,0.825519,0.893698,6.640908,8.360125
0.842000,0.815109,0.929157,6.657864,8.402130
0.844000,0.804151,0.965285,6.674709,8.444145
0.846000,0.792702,1.000429,6.691055,8.484186
0.848000,0.780817,1.032675,6.706635,8.520128
0.850000,0.768449,1.060080,6.721188,8.549717
0.852000,0.755694,1.080639,6.734414,8.570747
0.854000,0.742630,1.092758,6.745983,8.581371
0.856000,0.729465,1.095619,6.755711,8.580795
0.858000,0.716447,1.089076,6.763430,8.568953
0.860000,0.703966,1.074018,6.769079,8.547063
0.862000,0.692499,1.051974,6.772752,8.517225
0.864000,0.682613,1.024995,6.774596,8.482204
0.866000,0.674815,0.995298,6.775013,8.445125
0.868000,0.669715,0.965129,6.774553,8.409397
0.870000,0.667873,0.936470,6.773910,8.378252
0.872000,0.669875,0.911191,6.774070,8.355137
0.874000,0.676250,0.890838,6.776228,8.343317
0.876000,0.687505,0.876762,6.781919,8.346186
0.878000,0.704124,0.869925,6.792480,8.366529
0.880000,0.726442,0.870672,6.808891,8.406004
0.882000,0.754564,0.878943,6.831513,8.465020
0.884000,0.788478,0.894349,6.860344,8.543171
0.886000,0.827837,0.916128,6.895078,8.639043
0.888000,0.872170,0.943373,6.935203,8.750746
0.890000,0.920786,0.975031,6.979856,8.875673
0.892000,0.972838,1.010072,7.028041,9.010951
0.894000,1.027432,1.047505,7.078935,9.153872
0.896000,1.083799,1.086459,7.132098,9.302356
0.898000,1.141153,1.126102,7.187241,9.454496
0.900000,1.198924,1.165955,7.244139,9.609019
0.902000,1.256521,1.205232,7.302713,9.764466
0.904000,1.313642,1.243468,7.362915,9.920026
0.906000,1.369872,1.280160,7.424673,10.074706
0.908000,1.424915,1.314898,7.488014,10.227828
0.910000,1.478668,1.347398,7.553001,10.379067
0.912000,1.531021,1.377416,7.619572,10.528010
0.914000,1.582148,1.404811,7.687872,10.674831
0.916000,1.632202,1.429538,7.757968,10.819708
