Temperature (K),Energy (eV)
798.000000,-27.904252
794.000000,-27.903633
791.000000,-27.903365
789.000000,-27.902028
789.000000,-27.899339
789.000000,-27.897405
790.000000,-27.895440
792.000000,-27.893678
793.000000,-27.893124
797.000000,-27.891924
802.000000,-27.889709
808.000000,-27.887814
816.000000,-27.886933
825.000000,-27.886077
838.000000,-27.884622
855.000000,-27.882781
874.000000,-27.881826
897.000000,-27.881707
922.000000,-27.881509
950.000000,-27.881131
979.000000,-27.880094
1007.000000,-27.878870
1031.000000,-27.878646
1050.000000,-27.878746
1060.000000,-27.879837
1061.000000,-27.880563
1053.000000,-27.879946
1034.000000,-27.877972
1003.000000,-27.875598
962.000000,-27.873515
910.000000,-27.871977
853.000000,-27.871812
795.000000,-27.870603
742.000000,-27.868724
696.000000,-27.866955
661.000000,-27.865791
639.000000,-27.863206
628.000000,-27.860045
624.000000,-27.858782
623.000000,-27.857629
623.000000,-27.857122
625.000000,-27.856228
629.000000,-27.854226
638.000000,-27.853012
655.000000,-27.852193
681.000000,-27.851440
715.000000,-27.851194
756.000000,-27.851503
798.000000,-27.852317
837.000000,-27.852577
869.000000,-27.852118
890.000000,-27.851624
898.000000,-27.851490
893.000000,-27.851340
879.000000,-27.849251
856.000000,-27.846895
826.000000,-27.845053
793.000000,-27.842918
758.000000,-27.840664
724.000000,-27.838608
692.000000,-27.837545
663.000000,-27.836355
638.000000,-27.835200
618.000000,-27.833822
603.000000,-27.832217
592.000000,-27.831470
587.000000,-27.830571
586.000000,-27.829999
592.000000,-27.828602
605.000000,-27.827582
625.000000,-27.827140
651.000000,-27.826879
685.000000,-27.826831
726.000000,-27.826889
772.000000,-27.826997
824.000000,-27.826813
879.000000,-27.826868
935.000000,-27.827064
991.000000,-27.827059
1042.000000,-27.827030
1087.000000,-27.826633
1124.000000,-27.826084
1152.000000,-27.824551
1168.000000,-27.822759
1173.000000,-27.821839
1166.000000,-27.820541
1151.000000,-27.818775
1126.000000,-27.817935
1094.000000,-27.816180
1057.000000,-27.814446
1012.000000,-27.813480
963.000000,-27.812730
911.000000,-27.812238
858.000000,-27.811500
805.000000,-27.810718
755.000000,-27.809710
708.000000,-27.808431
667.000000,-27.807128
631.000000,-27.805958
601.000000,-27.804968
578.000000,-27.804033
561.000000,-27.802793
550.000000,-27.801953
545.000000,-27.801810
544.000000,-27.801356
549.000000,-27.800700
557.000000,-27.799909
568.000000,-27.799370
582.000000,-27.799359
596.000000,-27.799462
613.000000,-27.799323
630.000000,-27.798925
647.000000,-27.798036
664.000000,-27.797285
680.000000,-27.796368
696.000000,-27.795145
711.000000,-27.794215
725.000000,-27.793147
741.000000,-27.792028
757.000000,-27.790896
777.000000,-27.789530
799.000000,-27.788537
825.000000,-27.787868
853.000000,-27.788070
883.000000,-27.787877
914.000000,-27.786458
942.000000,-27.785548
964.000000,-27.785014
979.000000,-27.784606
986.000000,-27.784288
983.000000,-27.784048
971.000000,-27.783049
950.000000,-27.781747
922.000000,-27.780883
889.000000,-27.780089
853.000000,-27.779478
815.000000,-27.778376
