Temperature (K),Energy (eV)
510.000000,-97.932555
544.000000,-97.938118
586.000000,-97.938594
622.000000,-97.940532
643.000000,-97.941841
638.000000,-97.942139
602.000000,-97.942607
537.000000,-97.942518
454.000000,-97.940738
367.000000,-97.938631
292.000000,-97.936627
241.000000,-97.934871
223.000000,-97.934030
241.000000,-97.934046
293.000000,-97.935152
372.000000,-97.937197
466.000000,-97.939814
560.000000,-97.942292
638.000000,-97.944093
686.000000,-97.943919
699.000000,-97.942351
675.000000,-97.938836
622.000000,-97.935466
552.000000,-97.932637
478.000000,-97.928394
411.000000,-97.925514
361.000000,-97.924025
333.000000,-97.922150
332.000000,-97.921101
358.000000,-97.920645
409.000000,-97.920873
477.000000,-97.921921
555.000000,-97.922830
629.000000,-97.924990
687.000000,-97.926177
720.000000,-97.925725
723.000000,-97.925433
699.000000,-97.923184
656.000000,-97.919191
606.000000,-97.916337
558.000000,-97.914565
523.000000,-97.912152
504.000000,-97.910078
503.000000,-97.908868
516.000000,-97.908337
538.000000,-97.907342
560.000000,-97.906917
572.000000,-97.906472
570.000000,-97.906878
551.000000,-97.905638
517.000000,-97.904352
471.000000,-97.901899
422.000000,-97.899567
375.000000,-97.897540
334.000000,-97.896306
302.000000,-97.895066
282.000000,-97.894258
276.000000,-97.894058
283.000000,-97.893184
305.000000,-97.893083
343.000000,-97.893190
397.000000,-97.893779
466.000000,-97.894464
545.000000,-97.895395
627.000000,-97.896724
703.000000,-97.897440
760.000000,-97.897491
788.000000,-97.895929
780.000000,-97.894913
737.000000,-97.894011
669.000000,-97.890495
586.000000,-97.887613
500.000000,-97.884500
420.000000,-97.882958
355.000000,-97.881627
307.000000,-97.881585
279.000000,-97.881655
268.000000,-97.881358
272.000000,-97.881561
288.000000,-97.881809
314.000000,-97.881331
347.000000,-97.881689
386.000000,-97.881894
428.000000,-97.881803
473.000000,-97.881307
517.000000,-97.881014
557.000000,-97.880794
591.000000,-97.879819
616.000000,-97.879062
630.000000,-97.877309
635.000000,-97.874971
634.000000,-97.872500
631.000000,-97.869506
629.000000,-97.867365
631.000000,-97.866184
633.000000,-97.863903
632.000000,-97.863052
626.000000,-97.864113
613.000000,-97.862625
594.000000,-97.862921
572.000000,-97.862184
549.000000,-97.860862
528.000000,-97.859440
507.000000,-97.858223
485.000000,-97.857535
460.000000,-97.857484
432.000000,-97.857212
403.000000,-97.856457
379.000000,-97.854981
366.000000,-97.853503
369.000000,-97.852430
389.000000,-97.851860
422.000000,-97.851527
461.000000,-97.851892
502.000000,-97.852581
540.000000,-97.853168
573.000000,-97.854013
598.000000,-97.854064
613.000000,-97.853155
613.000000,-97.851842
598.000000,-97.849092
567.000000,-97.847612
524.000000,-97.845385
475.000000,-97.843353
428.000000,-97.841511
388.000000,-97.840966
360.000000,-97.839818
343.000000,-97.839107
339.000000,-97.837393
342.000000,-97.837007
352.000000,-97.836220
365.000000,-97.834423
379.000000,-97.833778
394.000000,-97.833695
408.000000,-97.832793
419.000000,-97.831825
429.000000,-97.830442
437.000000,-97.829890
445.000000,-97.829341
456.000000,-97.828655
472.000000,-97.828081
496.000000,-97.828497
531.000000,-97.828461
576.000000,-97.828062
630.000000,-97.827774
687.000000,-97.827401
739.000000,-97.828345
780.000000,-97.827696
801.000000,-97.826045
796.000000,-97.823469
763.000000,-97.821785
